"Press Release Title","Older bereaved 'die of broken immune system not broken heart' ","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Neutrophil function and cortisol:DHEAS ratio in bereaved older adults","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","6.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","7.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-dicipline 2","8.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","8.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","01-11-002","Available for Coding?","1.0","1.0","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","",""
"","","Date Published","","39161.0","39171.0","","","","","","","39165.0","","","","","","","","","","","","","","","","","","","","39165.0","","","","",""
"","","Word Count - Title","","9.0","10.0","","","","","","","35.0","","","","","","","","","","","","","","","","","","","","12.0","","","","",""
"","","Word Count - Body","3000.0","270.0","580.0","","","","","","","590.0","","","","","","","","","","","","","","","","","","","","580.0","","","","",""
"","","Sentence Count","","","22.0","","","","","","","25.0","","","","","","","","","","","","","","","","","","","","22.0","","","","",""
"","","Who is it written by?","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","3.0","","","","",""
"","","Journalist code","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","2.0","","","","",""
"","Title","IV(s) in title","","bereaved older adults","Older bereaved","","","","","","","bereavement","","","","","","","","","","","","","","","","","","","","Losing a loved one","","","","",""
"","","DV(s) in title","","Neutrophil function and cortisol:DHEAS ratio","broken immune system ","","","","","","","bodys ability to fight off infection","","","","","","","","","","","","","","","","","","","","broken heart","","","","",""
"","","Who is it About?","","1.0","1.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","2.0","","","","",""
