"Press Release Title","Simple screening test identifies heart defects in newborns, say researchers ","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Pulse oximetry screening for congenital heart defects in newborn infants (PulseOx): a test accuracy study","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","1.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","01-11-013","Available for Coding?","1.0","1.0","1.0","1.0","1.0","","","1.0","1.0","","1.0","","1.0","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Date Published","","39320.0","39298.0","39298.0","39298.0","","","39298.0","39298.0","","39298.0","","39298.0","","","","","","","","","","","","","","","","","39298.0","","","","","",""
"","","Word Count - Title","","15.0","10.0","8.0","3.0","","","8.0","7.0","","8.0","","8.0","","","","","","","","","","","","","","","","","7.0","","","","","",""
"","","Word Count - Body","6000.0","330.0","450.0","480.0","60.0","","","310.0","320.0","","160.0","","490.0","","","","","","","","","","","","","","","","","430.0","","","","","",""
"","","Sentence Count","","","20.0","26.0","5.0","","","16.0","16.0","","8.0","","25.0","","","","","","","","","","","","","","","","","23.0","","","","","",""
"","","Who is it written by?","","","","2.0","4.0","","","3.0","2.0","","3.0","","2.0","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Journalist code","","","","-9.0","-9.0","","","2.0","-9.0","","2.0","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Title","IV(s) in title","","pulse oximetry screening for congenital heart defetcs","simple screening test","simple sensor","kid test","","","Simple blood oxygen ","heart test","","simple test","","-9.0","","","","","","","","","","","","","","","","","heart defect test","","","","","",""
"","","DV(s) in title","","test accuracy","heart defects","baby's life","0.0","","","save babies' lives","save babies","","heart defetcs","","heart defetcs","","","","","","","","","","","","","","","","","save lives","","","","","",""
"","","Who is it About?","","1.0","1.0","1.0","1.0","","","1.0","1.0","","1.0","","1.0","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","0.0","0.0","","","2.0","0.0","","0.0","","0.0","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Statement of Cause","","0.0","6.0","4.0","0.0","","","4.0","4.0","","5.0","","0.0","","","","","","","","","","","","","","","","","4.0","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","pulse oximetry","pulse oximetry","pulse oximetry","simple skin test","","","PulseOx","pulse oximetry","","pulse oximetry","","pulse oximetry","","","","","","","","","","","","","","","","","pulse oximetry","","","","","",""
"","","IV Code","","14.0","14.0","14.0","14.0","","","14.0","14.0","","14.0","","14.0","","","","","","","","","","","","","","","","","14.0","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","1.0","","","1.0","1.0","","1.0","","1.0","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","12.0","13.0","3.0","","","8.0","8.0","","5.0","","13.0","","","","","","","","","","","","","","","","","11.0","","","","","",""
"","","Words to First Mention","","","0.0","0.0","0.0","","","0.0","0.0","","0.0","","1.0","","","","","","","","","","","","","","","","","0.0","","","","","",""
