"Press Release Title","University research shapes new NICE guidelines on bloodpressure","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Cost-effectiveness of options for the diagnosis of high blood pressure in primary care: a modelling study","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","4.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","01-11-016","Available for Coding?","1.0","1.0","1.0","1.0","","","1.0","1.0","1.0","1.0","1.0","","1.0","","","","","","","","","","","","","","","","1.0","","","","1.0","","1.0"
"","","Date Published","","39317.0","39317.0","39317.0","","","39317.0","39317.0","39317.0","39316.0","39317.0","","39317.0","","","","","","","","","","","","","","","","39317.0","","","","39317.0","","39319.0"
"","","Word Count - Title","","16.0","9.0","9.0","","","5.0","13.0","20.0","35.0","7.0","","6.0","","","","","","","","","","","","","","","","8.0","","","","6.0","","3.0"
"","","Word Count - Body","5000.0","320.0","450.0","560.0","","","160.0","620.0","630.0","820.0","340.0","","140.0","","","","","","","","","","","","","","","","740.0","","","","500.0","","130.0"
"","","Sentence Count","","","15.0","28.0","","","8.0","27.0","26.0","37.0","15.0","","7.0","","","","","","","","","","","","","","","","33.0","","","","18.0","","7.0"
"","","Who is it written by?","","","","2.0","","","4.0","3.0","3.0","2.0","2.0","","3.0","","","","","","","","","","","","","","","","2.0","","","","3.0","","4.0"
"","","Journalist code","","","","-9.0","","","-9.0","2.0","3.0","-9.0","-9.0","","2.0","","","","","","","","","","","","","","","","-9.0","","","","2.0","","-9.0"
"","Title","IV(s) in title","","The diagnosis of high blood pressure","-9.0","Blood pressure test","","","-9.0","Anxious wait for doctor","Blood pressure tests","Home checks for high blood pressure, home monitoring devices","Blood pressure testers","","Blood pressure test","","","","","","","","","","","","","","","","Blood pressure guidelines","","","","-9.0","","-9.0"
"","","DV(s) in title","","Cost effectiveness","-9.0","-9.0","","","High blood pressure","Blood-pressure diagnosis rate","Misdiagnoses","Misdiagnosed, nervous at the doctor's surgery","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Who is it About?","","-9.0","2.0","1.0","","","-9.0","1.0","1.0","1.0","-9.0","","-9.0","","","","","","","","","","","","","","","","2.0","","","","-9.0","","-9.0"
"","","Are there quotes in the title?","","0.0","0.0","0.0","","","0.0","1.0","2.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","0.0","","","","0.0","","0.0"
"","","Statement of Cause","","0.0","-9.0","0.0","","","0.0","2.0","4.0","4.0","0.0","","0.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Diagnostic strategies","Diagnostic strategies","Blood pressure test","","","Blood pressure monitoring","Type of blood pressure monitoring","Method of blood pressure monitoring","Type of blood pressure test","Type of blood pressure monitoring","","The way high blood pressure is diagnosed","","","","","","","","","","","","","","","","Method for diagnosing blood pressure","","","","Blood pressure monitoring","","Bloodd pressure monitoring"
"","","IV Code","","18.0","18.0","18.0","","","18.0","18.0","18.0","18.0","18.0","","18.0","","","","","","","","","","","","","","","","18.0","","","","18.0","","18.0"
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","","","1.0","1.0","1.0","1.0","1.0","","1.0","","","","","","","","","","","","","","","","1.0","","","","1.0","","1.0"
"","","Number of Sentences the IV is mentioned on","","","9.0","8.0","","","5.0","7.0","6.0","9.0","4.0","","2.0","","","","","","","","","","","","","","","","9.0","","","","8.0","","1.0"
"","","Words to First Mention","","","1.0","0.0","","","1.0","1.0","0.0","0.0","0.0","","1.0","","","","","","","","","","","","","","","","1.0","","","","1.0","","26.0"
"","","What terms were included in the count?","","","Ambulatory blood pressure monitoring, diagnostic strategies, ambulatory monitoring","Blood pressure test, testing for the condition, monitored for 24 hours in their homes, ambulatory blood pressure monitoring, blood pressure checked, ambulator  monitoring, ABPM","","","Monitor their blood pressure, take regular readings over 24-hour period, blood pressure cuff attached to a machine, monitoring over 24 hours, home readings","Wear a monitor for 24 hours, readings in the surgery, ambulatory monitoring, monitoring, inflatable arm cuff in the surgery, ","Blood pressure tests, monitored for 24 hours, ambulatory blood pressure monitoring, ABPM, this new method, ambultory monitoring","Home check for blood pressure. Blood pressure taken in the surgery, ambulatory blood pressure monitoring, a small belt-clip monitor box, readings are automatically taken, ABPM, ","Blood pressure testers, 24-hour monitoring, blood pressure is taken by a cuff, takes a reading","","The way high blood pressure is  diagnosed, monitored for 24 hours","","","","","","","","","","","","","","","","Diagnosis confirmed at home, mobile device, ambulatory monitoring, ambulatory blood pressure monitoring, ambulatory, ","","","","Taking repeated blood pressure readings over a 24-hour period, ambulatory blood pressure monitoring, ambulatory monitoring, blood-pressure measurements, ambulatory blood pressure, one-off blood pressure readings taaken during a visit to the doctor, ","","Blood pressure monitoring cuff"
"","","is there ambiguity?","","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","0.0","","","","0.0","","0.0"
"","","if yes describe","","-9.0","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","0.0","","","","0.0","","0.0"
"","","Note differences here","","","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Actual IV for this","Three clinically relevant diagnostic options","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","18.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","0.0","","","","0.0","","0.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
""," ","Words to First Mention","","","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","Main Conclusion DV","Main DV of Conclusions ","","Misdiagnosis","Clinical accuracy","Readings","","","Accurate","Accuracy","Misdiagnoses","Accuracy","Accuracy","","Misdiagnosis","","","","","","","","","","","","","","","","Precision","","","","Cost effectiveness","","Misdiagnosis"
"","","Code of Main DV","","24.0","24.0","24.0","","","24.0","24.0","24.0","24.0","24.0","","24.0","","","","","","","","","","","","","","","","24.0","","","","24.0","","24.0"
"","","Is this DV in the first 2 sentences?","","","1.0","0.0","","","0.0","1.0","1.0","1.0","1.0","","1.0","","","","","","","","","","","","","","","","0.0","","","","1.0","","1.0"
"","","Number of Sentences the DV is mentioned on","","","2.0","2.0","","","2.0","3.0","3.0","5.0","2.0","","2.0","","","","","","","","","","","","","","","","2.0","","","","4.0","","1.0"
"","","Words to First Mention","","","1.0","66.0","","","63.0","1.0","0.0","0.0","1.0","","23.0","","","","","","","","","","","","","","","","44.0","","","","1.0","","1.0"
"","","What terms were included in the count?","","","Clinically accurate, misdiagnosis","Readings that are artificially high, misleadingly high score","","","Accurate, treatment of patients whose blood pressure is normal","Wrongly diagnosed, more accurate, received wrong diagnosis","Misdiagnoses, misdiagnosed, elevated blood pressure in a surgery or hospital but nowhere else, ","Misdiagnosed, misleading reading, more accurately, more accurate reading, more accurate readings","Misdiagnosed, a more accurate measure","","Misdiagnosed, cause a high reading","","","","","","","","","","","","","","","","Misdiagnosis, better targeing of treatment, more precise way of diagnosing blood pressure","","","","Cost-effective, cost saving, it saved money","","Wrongly diagnosed"
"","","is there ambiguity?","","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","0.0","","","","0.0","","0.0"
"","","if yes describe","","-9.0","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Is the same DV being coded here as the abstract?","","","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","0.0","","","","1.0","","0.0"
"","","Note differences here","","","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","This is concordant with the primary IV in the Journal Article","","-9.0"
"","","Actual DV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Caveats Mentioned?","","","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","is the DV quantified ","","-9.0","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Base Rate Mentioned","","-9.0","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","Second IV","Second IV of Conclusions (or quasi IV)","","-9.0","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","How does this IV relate to the research article","","-9.0","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","IV Code","","-9.0","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Number of Sentences the IV is mentioned on","","","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
