"Press Release Title","Depression following miscarriage can continue after healthy birth","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Previous prenatal loss as a predictor of perinatal depression and anxiety","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","1.0","Health","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","7.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Techniques","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","6.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","02-11-012","Available for Coding?","1.0","1.0","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","39059.0","39143.0","","","","","","","39143.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","11.0","8.0","","","","","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","3000.0","250.0","540.0","","","","","","","360.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","20.0","","","","","","","14.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Journalist code","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","Previous prenatal loss","miscarriage","","","","","","","successful birth","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","perinatal depression and anxiety","Depression ","","","","","","","miscarriage","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it About?","","2.0","2.0","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","",""
