"Press Release Title","Dietary advice improves blood sugar control for recently diagnosed type 2 diabetes patients","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Diet or diet plus physical activity versus usual care in
patients with newly diagnosed type 2 diabetes: the Early
ACTID randomised controlled trial","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","4.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","5.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Techniques","2.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","COMPLETE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","6.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","02-11-024","Available for Coding?","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","39256.0","39259.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","23.0","13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","7000.0","300.0","450.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","16.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Journalist code","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","Diet or diet plus physical activity versus usual care ","dietary advice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","-9.0","blood sugar control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it About?","","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Statement of Cause","","0.0","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","intensive diet intervention","dietry advice/usual care","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","","4.0","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","11.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","as above, diet, usual care, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","if yes describe","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Actual IV for this","Intensive dietary
intervention","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
""," ","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Main Conclusion DV","Main DV of Conclusions ","","glycaemic control","blood sugar control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Code of Main DV","","18.0","18.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
