"Press Release Title","Study reveals 15-year increase in life expectancy for people with HIV in UK","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Impact of late diagnosis and treatment on life expectancy in people with HIV-1: UK Collaborative HIV Cohort (UK CHIC) Study","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","8.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","5.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","02-11-040","Available for Coding?","1.0","1.0","1.0","","","","","","","","1.0","","1.0","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Date Published","","39365.0","39366.0","","","","","","","","39366.0","","39366.0","","","","","","","","","","","","","","","","","39366.0","","","","39365.0","",""
"","","Word Count - Title","","20.0","13.0","","","","","","","","32.0","","9.0","","","","","","","","","","","","","","","","","8.0","","","","9.0","",""
"","","Word Count - Body","4000.0","280.0","510.0","","","","","","","","1430.0","","180.0","","","","","","","","","","","","","","","","","390.0","","","","480.0","",""
"","","Sentence Count","","","17.0","","","","","","","","94.0","","8.0","","","","","","","","","","","","","","","","","19.0","","","","16.0","",""
"","","Who is it written by?","","","","","","","","","","","3.0","","3.0","","","","","","","","","","","","","","","","","2.0","","","","3.0","",""
"","","Journalist code","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","late diagnosis and treatemnt","people with HIV","","","","","","","","HIV","","HIV patients","","","","","","","","","","","","","","","","","HIV","","","","better HIV drugs","",""
"","","DV(s) in title","","life expectancy in people with HIV-1","life expectancy","","","","","","","","life expectancy","","life expectancy","","","","","","","","","","","","","","","","","life expectancy","","","","extend lives","",""
"","","Who is it About?","","1.0","1.0","","","","","","","","1.0","","1.0","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","","0.0","","0.0","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","Statement of Cause","","0.0","2.0","","","","","","","","0.0","","6.0","","","","","","","","","","","","","","","","","6.0","","","","6.0","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","people treated for HIV infection","HIV patients undergoing treatment","","","","","","","","patients treated for HIV","","antiretroviral treatments","","","","","","","","","","","","","","","","","people with HIV treatment","","","","HIV treatment","",""
"","","IV Code","","17.0","17.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","","1.0","","1.0","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Number of Sentences the IV is mentioned on","","","14.0","","","","","","","","48.0","","8.0","","","","","","","","","","","","","","","","","13.0","","","","15.0","",""
"","","Words to First Mention","","","0.0","","","","","","","","0.0","","0.0","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","What terms were included in the count?","","","people with HIV, HIV-positive individuals, antiretroviral therapy treatment, those with HIV, treated for HIV, patients, HIV-positive population, treated HIV-positive patients","","","","","","","","HIV, infection with the virus, improvements in drug treatemnt, the drugs, new combination therapy, antiretroviral drugs, new drugs, treatment, the disease, condition, combination drugs, infection, treated, AZT, protease inhibitors","","HIV patients, treatment, HIV-positive people, HIV-positive population, infected with HIV","","","","","","","","","","","","","","","","","HIV, treatment, diagnosis, treated for HIV","","","","treatment, better HIV drugs, effects from drugs, HIV positive, HIV, HIV drugs, starting antiretroviral therapy, treated for HIV","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","","","0.0","","0.0","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","if yes describe","","-9.0","-9.0","","","","","","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","","","","","0.0","","0.0","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","Note differences here","","","-9.0","","","","","","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Actual IV for this","people with HIV treated with antiretroviral therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","17.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","","","","","0.0","","0.0","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","","","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
""," ","Words to First Mention","","","-9.0","","","","","","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","","","","","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","","","","","","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","","","","","","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","Main Conclusion DV","Main DV of Conclusions ","","life expectancy","life expectancy","","","","","","","","life expectancy","","life expectancy","","","","","","","","","","","","","","","","","life expectancy","","","","life expectancy","",""
"","","Code of Main DV","","21.0","21.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this DV in the first 2 sentences?","","","1.0","","","","","","","","1.0","","1.0","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Number of Sentences the DV is mentioned on","","","13.0","","","","","","","","8.0","","6.0","","","","","","","","","","","","","","","","","8.0","","","","7.0","",""
"","","Words to First Mention","","","0.0","","","","","","","","0.0","","0.0","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","What terms were included in the count?","","","life expectancy, live longer, likely to live, additional years","","","","","","","","life expectancy, the improvement","","life expectancy, outlook, expect to live longer","","","","","","","","","","","","","","","","","life expectancy, expect to live","","","","life expectancy, extend lives","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","","","0.0","","0.0","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","if yes describe","","-9.0","-9.0","","","","","","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Is the same DV being coded here as the abstract?","","","0.0","","","","","","","","0.0","","0.0","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
