"Press Release Title","Could hypertension drugs help people with Alzheimer’s?","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Associations of Anti-Hypertensive
Treatments with Alzheimer’s Disease,
Vascular Dementia, and Other Dementias","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","4.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","7.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Techniques","5.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","02-11-054","Available for Coding?","1.0","1.0","1.0","1.0","1.0","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","39374.0","39371.0","39373.0","39373.0","","","","","39372.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","12.0","7.0","7.0","3.0","","","","","37.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","6000.0","270.0","640.0","400.0","60.0","","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","22.0","19.0","4.0","","","","","22.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","2.0","4.0","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Journalist code","","","","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","Anti-hpertensive treatments","Hypertention drugs","Blood pressure pills","Dementia pills","","","","","Blood pressure drugs","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","Alzheimer's disease, vascular dementia and other dementias","Alzheimer's","Alzheimer's","-9.0","","","","","Alzheimer's","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it About?","","2.0","1.0","2.0","-9.0","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","1.0","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Statement of Cause","","2.0","0.0","2.0","0.0","","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Angiotensin II receptor blockers (ARBs) and angiotensin converting enzyme inhibitors (ACE-Is)","Hypertension drugs (drugs that target the renin angiotensin system)","ARBs and ACE inhibitors","Blood pressure drugs","","","","","Blood pressure lowering drugs","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","","9.0","9.0","9.0","9.0","","","","","9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
