"Press Release Title","It takes two for improved control of blood pressure ","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Aliskiren and the calcium channel blocker amlodipine combination as an initial treatment strategy for  hypertension control (ACCELERATE): a randomised, parallel-group trial ","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","3.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","03-11-004","Available for Coding?","1.0","1.0","1.0","","","","1.0","","","1.0","","","","","","","1.0","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Date Published","","39103.0","39094.0","","","","39094.0","","","39094.0","","","","","","","39104.0","","","","","","","","","","","","39094.0","","","","39094.0","",""
"","","Word Count - Title","","21.0","9.0","","","","9.0","","","8.0","","","","","","","9.0","","","","","","","","","","","","8.0","","","","6.0","",""
"","","Word Count - Body","5000.0","380.0","750.0","","","","620.0","","","390.0","","","","","","","300.0","","","","","","","","","","","","340.0","","","","520.0","",""
"","","Sentence Count","","","28.0","","","","41.0","","","17.0","","","","","","","15.0","","","","","","","","","","","","18.0","","","","20.0","",""
"","","Who is it written by?","","","","","","","3.0","","","2.0","","","","","","","4.0","","","","","","","","","","","","2.0","","","","3.0","",""
"","","Journalist Code","","","","","","","2.0","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","-9.0","","","","1.0","",""
"","Title","IV(s) in title","","Aliskiren and the calcium channel blocker amlodipine combination ","-9.0","","","","Blood pressure pill","","","Blood pressure drugs","","","","","","","New 2-in-1 pills","","","","","","","","","","","","Combination pill","","","","Novartis hypertension drug combination","",""
"","","DV(s) in title","","Hypertension control ","Blood pressure","","","","Strokes","","","-9.0","","","","","","","Hypertension","","","","","","","","","","","","High blood pressure","","","","-9.0","",""
"","","Who is it About?","","-9.0","2.0","","","","-9.0","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","-9.0","","","","-9.0","",""
