"Press Release Title","GM chickens that don’t transmit bird flu developed","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Suppression of Avian Influenza
Transmission in Genetically
Modified Chickens
","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","6.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","03-11-005","Available for Coding?","1.0","1.0","1.0","1.0","","","","","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Date Published","","39095.0","39095.0","39095.0","","","","","39094.0","39095.0","39095.0","","","","","","","","","","","","","","","","","","39094.0","","","","39094.0","",""
"","","Word Count - Title","","9.0","8.0","9.0","","","","","11.0","7.0","9.0","","","","","","","","","","","","","","","","","","6.0","","","","8.0","",""
"","","Word Count - Body","3000.0","110.0","560.0","750.0","","","","","770.0","170.0","420.0","","","","","","","","","","","","","","","","","","800.0","","","","590.0","",""
"","","Sentence Count","","","23.0","33.0","","","","","30.0","7.0","15.0","","","","","","","","","","","","","","","","","","32.0","","","","21.0","",""
"","","Who is it written by?","","","","3.0","","","","","1.0","4.0","3.0","","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Journalist Code","","","","3.0","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","Title","IV(s) in title","","Genetically modified chickens","GM chickens","GM 'Superchicken'","","","","","GM Chickens","chickens gentically modified","Chicken created by GM lab","","","","","","","","","","","","","","","","","","GM chickens","","","","scientifically produced chickens","",""
"","","DV(s) in title","","Avian influenza transmission","bird flu","bird flu","","","","","spread of bird flu","bird flu","spread of bird flu","","","","","","","","","","","","","","","","","","Flu resistant","","","","bird flu","",""
"","","Who is it About?","","5.0","5.0","5.0","","","","","5.0","5.0","5.0","","","","","","","","","","","","","","","","","","5.0","","","","5.0","",""
"","","Are there quotes in the title?","","0.0","0.0","1.0","","","","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","1.0","","","","0.0","",""
"","","Statement of Cause","","6.0","6.0","6.0","","","","","5.0","6.0","6.0","","","","","","","","","","","","","","","","","","0.0","","","","6.0","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","transgenic and nontransgenic birds ","genetically modified chickens","genetically modified 'superchicken' ","","","","","genetically modified (GM) chickens ","chickens that have been genetically modified","genetically modified chickens","","","","","","","","","","","","","","","","","","genetically modified chickens ","","","","Genetically modified chickens","",""
"","","IV Code","","19.0","19.0","19.0","","","","","19.0","19.0","19.0","","","","","","","","","","","","","","","","","","19.0","","","","19.0","",""
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","","","","","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Number of Sentences the IV is mentioned on","","","10.0","16.0","","","","","18.0","2.0","9.0","","","","","","","","","","","","","","","","","","15.0","","","","6.0","",""
"","","Words to First Mention","","","0.0","0.0","","","","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","What terms were included in the count?","","","as abiove, GM chickens, non transgenic/transgenic chickens, genetic modifications, these particular birds, these chickens, ","as above, GM, decoy RNA","","","","","as above, transgenic, GM, the chicken, gene into chicken embryo's, decoy molecule, genetic decoy/decoy, genetic modification","see above","GM, decoy, 'extra piece of DNA', ","","","","","","","","","","","","","","","","","","as above, GM","","","","as above, transgenic, normal chickens/non-transgenic chickens","",""
"","","is there ambiguity?","","0.0","0.0","0.0","","","","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","if yes describe","","-9.0","-9.0","-9.0","","","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","","","","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","Note differences here","","","-9.0","-9.0","","","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Actual IV for this","Gene modification - short hairpin RNA molecule, decoy 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
