"Press Release Title","Biomarker for autism discovered ","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","A novel functional brain imaging endophenotype of autism: the neural response to facial expression of emotion","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","7.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","5.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Techniques","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","03-11-012","Available for Coding?","1.0","1.0","1.0","","1.0","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Date Published","","39274.0","39274.0","","39275.0","39275.0","","","","39275.0","","","","","","","","","","","","","","","","","","","","","","","","","39275.0"
"","","Word Count - Title","","16.0","4.0","","4.0","4.0","","","","7.0","","","","","","","","","","","","","","","","","","","","","","","","","11.0"
"","","Word Count - Body","4000.0","240.0","640.0","","70.0","80.0","","","","80.0","","","","","","","","","","","","","","","","","","","","","","","","","270.0"
"","","Sentence Count","","","23.0","","5.0","6.0","","","","5.0","","","","","","","","","","","","","","","","","","","","","","","","","12.0"
"","","Who is it written by?","","","","","4.0","4.0","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","3.0"
"","","Journalist Code","","","","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","3.0"
"","Title","IV(s) in title","","Facial expression of emotion","-9.0","","Bruv","Smile","","","","A smile","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","DV(s) in title","","Neural response","Biomarker for autism","","Autism","Autism clue","","","","Autism genes","","","","","","","","","","","","","","","","","","","","","","","","","Response to a smile or a frown"
"","","Who is it About?","","1.0","1.0","","1.0","1.0","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Are there quotes in the title?","","0.0","0.0","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Statement of Cause","","0.0","0.0","","3.0","6.0","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","6.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Individuals with autism, unaffected siblings and healthy controls","People with autism, an uneffected sibling and controls","","Brothers and sisters","Emotions","","","","Siblings of those with autism","","","","","","","","","","","","","","","","","","","","","","","","","Teenager with autism, a sibling without autism and 40 teenagers with no famiy history of autism"
"","","IV Code","","11.0","11.0","","11.0","13.0","","","","11.0","","","","","","","","","","","","","","","","","","","","","","","","","11.0"
"","","Is this IV in the first 2 sentences?","","","1.0","","1.0","1.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of Sentences the IV is mentioned on","","","8.0","","2.0","3.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","4.0"
"","","Words to First Mention","","","10.0","","1.0","1.0","","","","32.0","","","","","","","","","","","","","","","","","","","","","","","","","41.0"
"","","What terms were included in the count?","","","Siblings of people with autism, siblings of individuals with autism, teenager with autism, teenagers with no family history of autism, siblings of those with autism, those with autism, sibling without autism, people with autism and their unaffected brothers and sisters, ","","Brothers and sisters, siblings","Smile or a frown, facial expressions, emotions","","","","Siblings of those with autism","","","","","","","","","","","","","","","","","","","","","","","","","Siblings of those with autism, teenager with autism,  siblings"
"","","is there ambiguity?","","0.0","0.0","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","","0.0","1.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","","-9.0","This is the second IV","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual IV for this","Adolescents with autism, unaffected siblings and typically developing controls","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","11.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","1.0","-9.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
""," ","Words to First Mention","","","-9.0","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Main Conclusion DV","Main DV of Conclusions ","","Neural response (fMRI)","Brain activity (fMRI)","","Brain activity","Brain reaction","","","","Brain patterns","","","","","","","","","","","","","","","","","","","","","","","","","Brain's response to facial emotion"
"","","Code of Main DV","","20.0","20.0","","20.0","20.0","","","","20.0","","","","","","","","","","","","","","","","","","","","","","","","","20.0"
"","","Is this DV in the first 2 sentences?","","","1.0","","1.0","1.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of Sentences the DV is mentioned on","","","7.0","","2.0","2.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","5.0"
"","","Words to First Mention","","","10.0","","24.0","1.0","","","","32.0","","","","","","","","","","","","","","","","","","","","","","","","","41.0"
"","","What terms were included in the count?","","","Brain activity, activity in a part if the brain, brain's response to, reduction in brain activity, brain's activity, activity in various areas of the brain","","Have a 'marker' in their brain, brain activity","Reaction to a smile or a frown, brain reaction","","","","Brain patterns","","","","","","","","","","","","","","","","","","","","","","","","","Brain patterns, brain's reponse to facial emotion, brain's activity, activity in some areas of the brain, patterns in the brain"
"","","is there ambiguity?","","0.0","0.0","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same DV being coded here as the abstract?","","","0.0","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual DV for this","fMRI response","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","0.0","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is the DV quantified ","","0.0","0.0","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Base Rate Mentioned","","0.0","0.0","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Words to First Mention","","","-9.0","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Second IV","Second IV of Conclusions (or quasi IV)","","Facial expression of emotion (happy versus neutral faces)","Photographs of faces which were either neutral or expressinf an emotion such as happiness","","Facial expressions","Brothers and sisters of people with autism","","","","Facial expressions","","","","","","","","","","","","","","","","","","","","","","","","","Viewing facial expressions"
"","","How does this IV relate to the research article","","2.0","2.0","","2.0","1.0","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","2.0"
"","","IV Code","","20.0","20.0","","20.0","20.0","","","","20.0","","","","","","","","","","","","","","","","","","","","","","","","","20.0"
"","","Number of Sentences the IV is mentioned on","","","5.0","","1.0","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","2.0"
"","","Words to First Mention","","","10.0","","40.0","32.0","","","","32.0","","","","","","","","","","","","","","","","","","","","","","","","","41.0"
"","","What terms were included in the count?","","","Emotional facial expressions, facial emotion, viewing others' emotions, photographs of faces which were either neutral, a happy versus a neutral face, ","","Facial expressions","Brothers and sisters","","","","Facial expressions","","","","","","","","","","","","","","","","","","","","","","","","","Viewing facial expressions, a hapy versus a neutral face"
"","","is there ambiguity?","","","0.0","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","","-9.0","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","","0.0","1.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
