"Press Release Title","Selecting the fittest embryos for survival","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Rhythmic actomyosin-driven contractions induced by sperm entry predict mammalian embryo viability","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","3.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","1.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Techniques","8.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","03-11-024","Available for Coding?","1.0","1.0","1.0","1.0","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Date Published","","39302.0","39303.0","39303.0","","","","","39303.0","","","","","","","","","","","","","","","","","","","","","","","","","","","39303.0"
"","","Word Count - Title","","11.0","6.0","8.0","","","","","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","7.0"
"","","Word Count - Body","5900.0","150.0","676.0","410.0","","","","","80.0","","","","","","","","","","","","","","","","","","","","","","","","","","","202.0"
"","","Sentence Count","","","24.0","20.0","","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0"
"","","Who is it written by?","","","","1.0","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0"
"","","Journalist Code","","","","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0"
"","Title","IV(s) in title","","Rhythmic actomyosin-driven contractions induced by sperm entry","Fittest embryos","Video test","","","","","Egg motion","","","","","","","","","","","","","","","","","","","","","","","","","","","Spot the best embryos"
"","","DV(s) in title","","Mamalian embryo viability","Survival","IVF success","","","","","IVF success rate","","","","","","","","","","","","","","","","","","","","","","","","","","","IVF"
"","","Who is it About?","","8.0","2.0","2.0","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0"
"","","Are there quotes in the title?","","0.0","0.0","1.0","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Statement of Cause","","3.0","0.0","6.0","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Rhythmical cytoplasmic movements that coincide with pulsations of the protrusion forming above the sperm head","Cytoplasmic movements and pulsations","Pulses of movement","","","","","Pulsating movements of eggs after fertilisation","","","","","","","","","","","","","","","","","","","","","","","","","","","The movements of eggs"
"","","IV Code","","20.0","20.0","20.0","","","","","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","20.0"
"","","Is this IV in the first 2 sentences?","","","1.0","0.0","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of Sentences the IV is mentioned on","","","5.0","3.0","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Words to First Mention","","","33.0","222.0","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","68.0"
"","","What terms were included in the count?","","","Seies of movements in the egg in the first hours after fertilisation, series of pulsating movements, the movements, the cytoplasmic movements and pulsations, the speed of the movements, ","Pulses of movement, quickest pulses, pulse","","","","","Egg motion, te;;-tale movements, pulsating movements","","","","","","","","","","","","","","","","","","","","","","","","","","","The movement of eggs"
"","","is there ambiguity?","","0.0","0.0","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
