"Press Release Title","Eating chocolate cuts risk of heart disease ","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Chocolate consumption and cardiometabolic disorders: systematic review and meta-analysis","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","2.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","03-11-026","Available for Coding?","1.0","1.0","1.0","1.0","1.0","","1.0","1.0","1.0","1.0","1.0","","1.0","","","","","","","","","","","","","","","","","1.0","","","","1.0","","1.0"
"","","Date Published","","39322.0","39323.0","39323.0","39323.0","","39322.0","39323.0","39323.0","39322.0","39323.0","","39323.0","","","","","","","","","","","","","","","","","39323.0","","","","39322.0","","39323.0"
"","","Word Count - Title","","9.0","7.0","10.0","7.0","","11.0","9.0","8.0","30.0","7.0","","15.0","","","","","","","","","","","","","","","","","7.0","","","","8.0","","6.0"
"","","Word Count - Body","4000.0","290.0","280.0","360.0","180.0","","380.0","140.0","470.0","460.0","250.0","","540.0","","","","","","","","","","","","","","","","","350.0","","","","340.0","","80.0"
"","","Sentence Count","","","10.0","17.0","11.0","","18.0","6.0","21.0","22.0","13.0","","23.0","","","","","","","","","","","","","","","","","18.0","","","","14.0","","6.0"
"","","Who is it written by?","","","","2.0","3.0","","2.0","3.0","2.0","2.0","3.0","","2.0","","","","","","","","","","","","","","","","","4.0","","","","3.0","","4.0"
"","","Journalist code","","","","-9.0","3.0","","-9.0","2.0","-9.0","-9.0","3.0","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","2.0","","-9.0"
"","Title","IV(s) in title","","chocolate consumption","eating chocolate","chocolate","chocs","","chocolate","chocaholics dining out","chocolate","eating chocolate","chocoholics","","chocolate","","","","","","","","","","","","","","","","","chocolate","","","","chocolate","","chocolate"
"","","DV(s) in title","","cardiometabolic disorders","risk of heart disease","heart disease risk","heart attack risk","","heart disease risk","heart attack good news","-9.0","risk of heart disease","heart disease","","risk of heart disease","","","","","","","","","","","","","","","","","brain and heart","","","","heart","","risk of strokes"
"","","Who is it About?","","2.0","2.0","2.0","1.0","","2.0","1.0","1.0","2.0","1.0","","2.0","","","","","","","","","","","","","","","","","2.0","","","","1.0","","2.0"
