"Press Release Title","Gene that controls chronic pain identified ","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","HCN2 Ion Channels Play a Central Role in Inflammatory and Neuropathic Pain","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","03-11-028","Available for Coding?","1.0","1.0","1.0","1.0","1.0","","1.0","","","","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Date Published","","39333.0","39336.0","39334.0","39337.0","","39334.0","","","","","","","","","","","","","","","","","","","","","","39333.0","","","","39332.0","",""
"","","Word Count - Title","","12.0","6.0","7.0","5.0","","13.0","","","","","","","","","","","","","","","","","","","","","","10.0","","","","7.0","",""
"","","Word Count - Body","3000.0","120.0","530.0","330.0","120.0","","530.0","","","","","","","","","","","","","","","","","","","","","","520.0","","","","512.0","",""
"","","Sentence Count","","","23.0","16.0","8.0","","27.0","","","","","","","","","","","","","","","","","","","","","","26.0","","","","17.0","",""
"","","Who is it written by?","","","","4.0","4.0","","3.0","","","","","","","","","","","","","","","","","","","","","","4.0","","","","3.0","",""
"","","Journalist Code","","","","-9.0","-9.0","","3.0","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","1.0","",""
"","Title","IV(s) in title","","HCN2 ion channels","Gene","Gene clue","Arthritis agony","","Gene","","","","","","","","","","","","","","","","","","","","","","Gene","","","","Gene","",""
"","","DV(s) in title","","inflammatory and neuropathic pain","Chronic pain","Back pain","Relief","","Back pain","","","","","","","","","","","","","","","","","","","","","","Chronic back pain","","","","Chronic pain","",""
"","","Who is it About?","","-9.0","2.0","2.0","2.0","","2.0","","","","","","","","","","","","","","","","","","","","","","2.0","","","","2.0","",""
"","","Are there quotes in the title?","","0.0","0.0","0.0","1.0","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","Statement of Cause","","6.0","6.0","6.0","0.0","","6.0","","","","","","","","","","","","","","","","","","","","","","4.0","","","","6.0","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","HCN2 deletion","HCN2 deletion","HCN2 gene","HCN2","","HCN2 gene","","","","","","","","","","","","","","","","","","","","","","HCN2 gene","","","","HCN2 gene","",""
"","","IV Code","","19.0","19.0","19.0","19.0","","19.0","","","","","","","","","","","","","","","","","","","","","","19.0","","","","19.0","",""
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","1.0","","1.0","","","","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Number of Sentences the IV is mentioned on","","","14.0","8.0","3.0","","11.0","","","","","","","","","","","","","","","","","","","","","","14.0","","","","11.0","",""
"","","Words to First Mention","","","0.0","0.0","20.0","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
