"Press Release Title","Scientists demonstrate potential new treatment for most common form of infant leukaemia ","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Inhibition of BET recruitment to chromatin as an effective treatment for MLL-fusion leukaemia","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","3.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","5.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","03-11-032","Available for Coding?","1.0","1.0","1.0","","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Date Published","","39356.0","39357.0","","39357.0","","","39357.0","","","","","","","","","","","","","","","","","","","","","","","","","","39356.0","",""
"","","Word Count - Title","","13.0","12.0","","3.0","","","8.0","","","","","","","","","","","","","","","","","","","","","","","","","","8.0","",""
"","","Word Count - Body","3000.0","280.0","490.0","","70.0","","","110.0","","","","","","","","","","","","","","","","","","","","","","","","","","470.0","",""
"","","Sentence Count","","","16.0","","6.0","","","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","17.0","",""
"","","Who is it written by?","","","","","4.0","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","",""
"","","Journalist Code","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","Title","IV(s) in title","","Inhibition of BET recruitment to chromatin ","potential new treatment","","0.0","","","drug","","","","","","","","","","","","","","","","","","","","","","","","","","GlaxoSmithKline leukaemia drug","",""
"","","DV(s) in title","","treatment for MLL-fusion leukaemia","most common form of infant leukaemia","","cancer","","","leukaemia","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Who is it About?","","2.0","1.0","","2.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Are there quotes in the title?","","0.0","0.0","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Statement of Cause","","0.0","0.0","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","displacement of BET
proteins","preventing BET and MLL from attaching to chromatin ","","chemical agent L-BET151 ","","","a new drug","","","","","","","","","","","","","","","","","","","","","","","","","","experimental drug, called I-BET151","",""
"","","IV Code","","9.0","9.0","","9.0","","","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","9.0","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Number of Sentences the IV is mentioned on","","","6.0","","3.0","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","5.0","",""
