"Press Release Title","3pm slump? Why a sugar rush may not be the answer ","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Activation of Central Orexin/Hypocretin Neurons by Dietary Amino Acids","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","-9.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","03-11-040","Available for Coding?","1.0","1.0","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","39402.0","39402.0","39402.0","39402.0","39403.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","9.0","11.0","8.0","6.0","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","8000.0","150.0","430.0","250.0","190.0","90.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","23.0","13.0","11.0","5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","1.0","4.0","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Journalist Code","","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","dietary amino acids","sugar rush","egg","egg","egg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","Activation of Central Orexin/Hypocretin Neurons","3pm slump","3pm slump","feeling tired","alert","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it About?","","-9.0","2.0","2.0","2.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
