"Press Release Title","Telling the truth ","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","The Development of Communicative and Narrative Skills Among Preschoolers: Lessons From Forensic Interviews About Child Abuse","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","-9.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","03-11-043","Available for Coding?","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","39434.0","39436.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","16.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","7000.0","130.0","1100.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","39.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Journalist Code","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","The Development of Communicative and Narrative Skills","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it About?","","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Statement of Cause","","0.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","age differences","sensitive interviewing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","","26.0","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","sensitive interviewing, interviewd by specialists, quality of interviewing, quality of the official interview, sensitive manner, adequately prepared, structured interview guide, interviewer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","if yes describe","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","this is the second IV in the abstract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Actual IV for this","Types of prompt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
""," ","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Main Conclusion DV","Main DV of Conclusions ","","provide information about experienced
events","talk informatively and accurately about experiences","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Code of Main DV","","20.0","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this DV in the first 2 sentences?","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the DV is mentioned on","","","14.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","talk informatively and accurately about experiences, reliable witnesses, providing useful information, remmeber and describe their experiences, respond to questions, give an accurate account, take part in extended interviews, addressed the topic raised, free recall information, provide on-topic responses, engage in complex conversations, understand many forms of questions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","if yes describe","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the same DV being coded here as the abstract?","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Actual DV for this","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is the DV quantified ","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Base Rate Mentioned","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
