"Press Release Title","Understanding Alzheimer’s: Genetic search uncovers five new genes","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Common variants at ABCA7, MS4A6A/MS4A4E, EPHA1, CD33 and CD2AP are associated with Alzheimer's disease","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","7.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","8.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","04-11-001","Available for Coding?","1.0","1.0","1.0","1.0","","1.0","1.0","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Date Published","","39174.0","39174.0","39175.0","","39175.0","39175.0","39175.0","39175.0","39175.0","39175.0","","","","","","","","","","","","","","","","","","39175.0","","","","39175.0","",""
"","","Word Count - Title","","14.0","8.0","10.0","","12.0","15.0","7.0","11.0","10.0","13.0","","","","","","","","","","","","","","","","","","7.0","","","","7.0","",""
"","","Word Count - Body","4000.0","210.0","840.0","210.0","","230.0","320.0","100.0","230.0","190.0","410.0","","","","","","","","","","","","","","","","","","440.0","","","","410.0","",""
"","","Sentence Count","","","33.0","10.0","","12.0","15.0","5.0","11.0","10.0","15.0","","","","","","","","","","","","","","","","","","22.0","","","","18.0","",""
"","","Who is it written by?","","","","4.0","","3.0","3.0","3.0","1.0","4.0","1.0","","","","","","","","","","","","","","","","","","2.0","","","","3.0","",""
"","","Journalist Code","","","","-9.0","","1.0","3.0","1.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","1.0","",""
"","Title","IV(s) in title","","ABCA7, MS4A6, MS4A4E, EPHA1, CD33, CD2AP","Five new genes","Five genetic clues","","Gene","5 genes","Genes","Gene","Genetic breakthrough","Test for Alzheimer's","","","","","","","","","","","","","","","","","","Alzheimer's genes","","","","Alzheimer's risk genes","",""
"","","DV(s) in title","","Alzheimer's disease","Alzheimer's","Alzheimer's","","Alzheimer's","Alzheimer's","Alzheimer's","Alzheimer's","Alzheimer's","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Who is it About?","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Are there quotes in the title?","","0.0","0.0","0.0","","1.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","Statement of Cause","","2.0","-9.0","4.0","","6.0","6.0","3.0","3.0","4.0","0.0","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Susceptibility loci (genes/SNPs)","Genes","Genes","","Genes","Genes","Genes","Genes","Genetic variants","Genes","","","","","","","","","","","","","","","","","","Five more genes","","","","Genetric variants","",""
"","","IV Code","","19.0","19.0","19.0","","19.0","19.0","19.0","19.0","19.0","19.0","","","","","","","","","","","","","","","","","","19.0","","","","19.0","",""
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","","1.0","1.0","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Number of Sentences the IV is mentioned on","","","12.0","6.0","","6.0","6.0","4.0","6.0","6.0","6.0","","","","","","","","","","","","","","","","","","7.0","","","","10.0","",""
"","","Words to First Mention","","","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","1.0","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","What terms were included in the count?","","","Genes, ABCA7","Genetoc clues. Genetic links, genes, ","","Gene, genetic, genes, DNA","Genes, Dna, genetic","Genes, genetic variations","Genes, gene, genetic","Genetic breakthrough, genes, genetic variants, genes, gene","Genes","","","","","","","","","","","","","","","","","","Five more genes, the new genes, the first gene, genes, gene","","","","Genes, genetic, gene","",""
"","","is there ambiguity?","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","if yes describe","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","Note differences here","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Actual IV for this","Genes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","19.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
""," ","Words to First Mention","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","Main Conclusion DV","Main DV of Conclusions ","","Alzheimer's disease","Alzheimer's Disease","Alzheimer's","","Alzheimer's","Alzheimer's","Alzheimer's","Azheimer's","Alzheimer's ","Alzheimer's","","","","","","","","","","","","","","","","","","Alzheimer's disease","","","","Alzheimer's","",""
"","","Code of Main DV","","12.0","12.0","12.0","","12.0","12.0","12.0","12.0","12.0","12.0","","","","","","","","","","","","","","","","","","12.0","","","","12.0","",""
"","","Is this DV in the first 2 sentences?","","","1.0","1.0","","1.0","1.0","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Number of Sentences the DV is mentioned on","","","18.0","4.0","","8.0","9.0","4.0","8.0","6.0","13.0","","","","","","","","","","","","","","","","","","9.0","","","","11.0","",""
"","","Words to First Mention","","","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","1.0","","","","0.0","",""
"","","What terms were included in the count?","","","Alzheimer's, dementia","Alzheimer's","","Alzheimer's, the condition","Alzheimer's, dementia, the disease, ","Alzheimer's, the disease, dementia","Alzheimer's, dementia","Alzheimer's, the disease","Alzheimer's, the condition, the disease","","","","","","","","","","","","","","","","","","Alzheimer's","","","","Alzheimer's","",""
"","","is there ambiguity?","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","if yes describe","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Is the same DV being coded here as the abstract?","","","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","Note differences here","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Actual DV for this","Alzheimer's disease","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","12.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
