"Press Release Title","When you cough up green or yellow phlegm you need to be prescribed antibiotics, right?","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Antibiotic prescribing for discoloured sputum in acute cough/lower respiratory tract infection","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","4.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","3.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","8.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","6.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","04-11-004","Available for Coding?","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Date Published","","39155.0","39164.0","","","","","","","","","","","","","","","","","","","","","","","","","","39164.0","","","","","",""
"","","Word Count - Title","","11.0","15.0","","","","","","","","","","","","","","","","","","","","","","","","","","8.0","","","","","",""
"","","Word Count - Body","4000.0","200.0","400.0","","","","","","","","","","","","","","","","","","","","","","","","","","370.0","","","","","",""
"","","Sentence Count","","","14.0","","","","","","","","","","","","","","","","","","","","","","","","","","17.0","","","","","",""
"","","Who is it written by?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0","","","","","",""
"","","Journalist Code","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Title","IV(s) in title","","discoloured sputum ","coughing up green or yellow phlegm ","","","","","","","","","","","","","","","","","","","","","","","","","","antibiotics","","","","","",""
"","","DV(s) in title","","Antibiotic prescribing ","prescribing antibiotics","","","","","","","","","","","","","","","","","","","","","","","","","","cough and phlegm","","","","","",""
"","","Who is it About?","","-9.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Statement of Cause","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","discoloured sputum ","coughing up green or yellow phlegm ","","","","","","","","","","","","","","","","","","","","","","","","","","producing coloured phlegm","","","","","",""
"","","IV Code","","15.0","15.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","6.0","","","","","",""
"","","Words to First Mention","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","What terms were included in the count?","","","as above, discoloured phlegm","","","","","","","","","","","","","","","","","","","","","","","","","","as above, yellow/green/white/clear phlegm","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","if yes describe","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
