"Press Release Title","Link to men's impulsive brains uncovered by Cardiff scientists","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Dorso-lateral prefrontal gamma-amino butyric acid in men predicts individual differences in rash impulsivity","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","-9.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","7.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","04-11-008","Available for Coding?","1.0","1.0","1.0","1.0","1.0","","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","","","1.0"
"","","Date Published","","39386.0","39302.0","39302.0","39303.0","","39304.0","","","","39302.0","","","","","","","","","","","","","","","","","","","39303.0","","","","","","39304.0"
"","","Word Count - Title","","13.0","9.0","14.0","10.0","","5.0","","","","10.0","","","","","","","","","","","","","","","","","","","7.0","","","","","","6.0"
"","","Word Count - Body","4000.0","170.0","410.0","430.0","230.0","","130.0","","","","360.0","","","","","","","","","","","","","","","","","","","560.0","","","","","","60.0"
"","","Sentence Count","","","14.0","22.0","14.0","","9.0","","","","19.0","","","","","","","","","","","","","","","","","","","25.0","","","","","","3.0"
"","","Who is it written by?","","","","4.0","3.0","","4.0","","","","3.0","","","","","","","","","","","","","","","","","","","4.0","","","","","","4.0"
"","","Journalist Code","","","","-9.0","1.0","","-9.0","","","","3.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","Title","IV(s) in title","","Individual differences in rash impulsivity","Impulsivity","Impulsive behaviour","Nose spray","","-9.0","","","","Impulsive","","","","","","","","","","","","","","","","","","","Aggression","","","","","","Impulse"
"","","DV(s) in title","","Dorso-lateral prefrontal gamma-amino butyric acid","-9.0","Brain chemical","Drunks and brawls","","-9.0","","","","Rioting","","","","","","","","","","","","","","","","","","","Brain Chemistry","","","","","","Something missing"
"","","Who is it About?","","1.0","1.0","1.0","2.0","","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","1.0"
