"Press Release Title","Common genetic variations linked to both schizophrenia and bipolar risk","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Genome-wide association study identifies five new schizophrenia loci","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","7.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","04-11-010","Available for Coding?","1.0","1.0","1.0","","","","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","39342.0","39343.0","","","","39344.0","","","","39343.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","22.0","10.0","","","","6.0","","","","6.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","9000.0","328.0","600.0","","","","150.0","","","","490.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","27.0","","","","8.0","","","","22.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","","","","4.0","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Journalist Code","","","","","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","Bipolar disorder","Schizophrenia and bipolar","","","","Bipolar","","","","Schizophrenia and bipolar disorder","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","Schizophrenia loci, susceptibility locus near ODZ4 (bipolar disorder)","Genetic variations","","","","Genetic defects","","","","Genes","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it About?","","-9.0","2.0","","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
