"Press Release Title","Chlamydia and ectopic pregnancy link","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Chlamydia trachomatis Infection Increases Fallopian Tube PROKR2 via TLR2 and NFκB Activation Resulting in a Microenvironment Predisposed to Ectopic Pregnancy","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","8.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","1.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","5.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","8.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","05-11-001","Available for Coding?","1.0","1.0","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Date Published","","39082.0","39105.0","","","","39093.0","","","","","","","","","","","","","","","","","","","","","","39092.0","","","","","",""
"","","Word Count - Title","","20.0","5.0","","","","7.0","","","","","","","","","","","","","","","","","","","","","","5.0","","","","","",""
"","","Word Count - Body","4000.0","220.0","260.0","","","","280.0","","","","","","","","","","","","","","","","","","","","","","300.0","","","","","",""
"","","Sentence Count","","","18.0","","","","12.0","","","","","","","","","","","","","","","","","","","","","","14.0","","","","","",""
"","","Who is it written by?","","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","4.0","","","","","",""
"","","Journalist Code","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Title","IV(s) in title","","Chlamydia trachomatic infection","Chlamydia","","","","sex infection","","","","","","","","","","","","","","","","","","","","","","Chlamydia","","","","","",""
"","","DV(s) in title","","fallopian tube PROKR2","Ectopic pregnancy","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","ectopic pregnancy","","","","","",""
"","","Who is it About?","","2.0","2.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Statement of Cause","","6.0","3.0","","","","6.0","","","","","","","","","","","","","","","","","","","","","","3.0","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","C. trachomatis ","Chlamydia","","","","chlamydia","","","","","","","","","","","","","","","","","","","","","","Chlamydia","","","","","",""
"","","IV Code","","17.0","17.0","","","","17.0","","","","","","","","","","","","","","","","","","","","","","17.0","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","7.0","","","","8.0","","","","","","","","","","","","","","","","","","","","","","9.0","","","","","",""
"","","Words to First Mention","","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","What terms were included in the count?","","","as above, chlamydial infection, the sexually transmitted disease","","","","sex infection, the sexuallly transmitted infection","","","","","","","","","","","","","","","","","","","","","","chlamydial infection, the STI","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","if yes describe","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Note differences here","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Actual IV for this","Chlamydia trachomatis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","17.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
""," ","Words to First Mention","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Main Conclusion DV","Main DV of Conclusions ","","PROKR2","Ectopic pregnancy","","","","ectopic pregnancy","","","","","","","","","","","","","","","","","","","","","","ectopic pregnancy","","","","","",""
"","","Code of Main DV","","1.0","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Is this DV in the first 2 sentences?","","","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the DV is mentioned on","","","5.0","","","","5.0","","","","","","","","","","","","","","","","","","","","","","6.0","","","","","",""
"","","Words to First Mention","","","0.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","What terms were included in the count?","","","as above","","","","an embryo implanting outside the womb.","","","","","","","","","","","","","","","","","","","","","","implanct outside the womb","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","if yes describe","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same DV being coded here as the abstract?","","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Note differences here","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Actual DV for this","tubal expression of PROKR2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
