"Press Release Title","Device delivers new way to treat cancer","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Palladium-mediated intracellular chemistry","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","3.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","05-11-005","Available for Coding?","1.0","1.0","1.0","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Date Published","","39118.0","39122.0","","","","","","","","","","39120.0","","","","","","","","","","","","","","","","","","","","","","39120.0"
"","","Word Count - Title","","3.0","7.0","","","","","","","","","","9.0","","","","","","","","","","","","","","","","","","","","","","8.0"
"","","Word Count - Body","3000.0","110.0","270.0","","","","","","","","","","470.0","","","","","","","","","","","","","","","","","","","","","","180.0"
"","","Sentence Count","","","21.0","","","","","","","","","","21.0","","","","","","","","","","","","","","","","","","","","","","10.0"
"","","Who is it written by?","","","","","","","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","3.0"
"","","Journalist Code","","","","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","3.0"
"","Title","IV(s) in title","","Palladium","Device","","","","","","","","","","Pin-point treatment","","","","","","","","","","","","","","","","","","","","","","Device"
"","","DV(s) in title","","Intracellular","Treat cancer","","","","","","","","","","Side effects","","","","","","","","","","","","","","","","","","","","","","Cancer side effects"
"","","Who is it About?","","6.0","2.0","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Statement of Cause","","6.0","6.0","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","4.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Palladium nanoparticles trapped within polystyrene microspheres","Device which delivers palladium","","","","","","","","","","Device","","","","","","","","","","","","","","","","","","","","","","Device"
"","","IV Code","","9.0","9.0","","","","","","","","","","9.0","","","","","","","","","","","","","","","","","","","","","","9.0"
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Sentences the IV is mentioned on","","","7.0","","","","","","","","","","6.0","","","","","","","","","","","","","","","","","","","","","","3.0"
"","","Words to First Mention","","","0.0","","","","","","","","","","17.0","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","What terms were included in the count?","","","Device, the metal, palladium, ","","","","","","","","","","Device, palladium","","","","","","","","","","","","","","","","","","","","","","Device, unit"
"","","is there ambiguity?","","0.0","0.0","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual IV for this","Pd0-based heterogeneous catalyst with the
ability to cross cell membranes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
""," ","Words to First Mention","","","-9.0","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","-9.0"
