"Press Release Title","Study shapes understanding of body fat ","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Novel Fat Depot–Specific Mechanisms Underlie Resistance to Visceral Obesity and Inflammation in 11β-Hydroxysteroid Dehydrogenase Type 1–Deficient Mice ","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","8.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","05-11-008","Available for Coding?","1.0","1.0","1.0","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Date Published","","39136.0","39149.0","39149.0","","","39150.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39150.0"
"","","Word Count - Title","","19.0","6.0","15.0","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.0"
"","","Word Count - Body","5000.0","240.0","350.0","410.0","","","110.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220.0"
"","","Sentence Count","","","24.0","17.0","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0"
"","","Who is it written by?","","","","3.0","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0"
"","","Journalist Code","","","","2.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0"
"","Title","IV(s) in title","","β-Hydroxysteroid Dehydrogenase ","-9.0","discovery of protein","","","to be a 'pear'","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","DV(s) in title","","Resistance to Visceral Obesity and Inflammation","body fat","body shape","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Who is it About?","","4.0","1.0","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Are there quotes in the title?","","0.0","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Statement of Cause","","6.0","0.0","6.0","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","presence of 11BetaHSD1","presence of the protein 11BetaHSD1","presnce of the protein 11BetaHSD1","","","11BetaHSD1 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","presence of the proteing 11BetaHSD1."
"","","IV Code","","4.0","4.0","4.0","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0"
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of Sentences the IV is mentioned on","","","8.0","10.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0"
"","","Words to First Mention","","","15.0","0.0","","","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.0"
"","","What terms were included in the count?","","","this protein, 11BetaHSD1","this proteing, the protein","","","as above","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the substanbce, 11BetaHSD1."
"","","is there ambiguity?","","0.0","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual IV for this","levels of  11BetaHSD1, altered through high fat diets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
""," ","Words to First Mention","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
