"Press Release Title","Blood test identifies more heart attacks","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Implementation of a Sensitive Troponin I Assay and Risk of Recurrent Myocardial Infarction and Death in Patients With Suspected Acute Coronary Syndrome ","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","3.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","6.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","05-11-010","Available for Coding?","1.0","1.0","1.0","","1.0","","1.0","","","","1.0","","1.0","","","","","","","","","","","","","","","","","1.0","","","","","","1.0"
"","","Date Published","","39163.0","39162.0","","39163.0","","39163.0","","","","39163.0","","39163.0","","","","","","","","","","","","","","","","","39163.0","","","","","","39163.0"
"","","Word Count - Title","","22.0","6.0","","4.0","","5.0","","","","8.0","","9.0","","","","","","","","","","","","","","","","","5.0","","","","","","6.0"
"","","Word Count - Body","4000.0","340.0","320.0","","80.0","","160.0","","","","420.0","","490.0","","","","","","","","","","","","","","","","","310.0","","","","","","260.0"
"","","Sentence Count","","","21.0","","4.0","","8.0","","","","17.0","","17.0","","","","","","","","","","","","","","","","","15.0","","","","","","13.0"
"","","Who is it written by?","","","","","4.0","","4.0","","","","2.0","","2.0","","","","","","","","","","","","","","","","","4.0","","","","","","3.0"
"","","Journalist Code","","","","","-9.0","","-9.0","","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","","3.0"
"","Title","IV(s) in title","","Implementation of a Sensitive Troponin I Assay","blood tests","","heart test","","new test","","","","new test","","test","","","","","","","","","","","","","","","","","Heart attack test ","","","","","","new heart test"
"","","DV(s) in title","","Risk of Recurrent Myocardial Infarction and Death","heart attacks","","saving lives","","save lives","","","","heart attack rates","","saving thousands of hidden heart attack victims lives","","","","","","","","","","","","","","","","","-9.0","","","","","","save lives"
"","","Who is it About?","","1.0","-9.0","","-9.0","","-9.0","","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","","2.0"
"","","Are there quotes in the title?","","0.0","0.0","","0.0","","0.0","","","","0.0","","0.0","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
"","","Statement of Cause","","0.0","6.0","","6.0","","6.0","","","","6.0","","6.0","","","","","","","","","","","","","","","","","6.0","","","","","","4.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","implementation of a sensitive troponin
assay","sensitive blood tests","","blood test","","new blood test","","","","new blood test","","blood test","","","","","","","","","","","","","","","","","heart attack blood test","","","","","","new blood test"
"","","IV Code","","20.0","20.0","","20.0","","20.0","","","","20.0","","20.0","","","","","","","","","","","","","","","","","20.0","","","","","","20.0"
"","","Is this IV in the first 2 sentences?","","","1.0","","1.0","","1.0","","","","0.0","","1.0","","","","","","","","","","","","","","","","","1.0","","","","","","1.0"
"","","Number of Sentences the IV is mentioned on","","","11.0","","3.0","","7.0","","","","9.0","","11.0","","","","","","","","","","","","","","","","","8.0","","","","","","7.0"
"","","Words to First Mention","","","0.0","","0.0","","0.0","","","","0.0","","0.0","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
"","","What terms were included in the count?","","","as above,troponin, the/this test.","","as above","","as above, procedure","","","","as above, outdated diagnostic thresholds for troponin","","as above, diagnostic thresholds for troponin","","","","","","","","","","","","","","","","","as above, ","","","","","","as above, blood test, sensitive test, technique"
"","","is there ambiguity?","","0.0","0.0","","0.0","","0.0","","","","0.0","","0.0","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","","-9.0","","-9.0","","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","","0.0","","0.0","","","","0.0","","0.0","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
"","","Note differences here","","","-9.0","","-9.0","","-9.0","","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Actual IV for this","Plasma troponin I concentrations were
measured by Abbott Architect assays, two phases (validation and implementation to represent the two concentration levels that were tested)
","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","0.0","","0.0","","","","0.0","","0.0","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","-9.0","","-9.0","","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
""," ","Words to First Mention","","","-9.0","","-9.0","","-9.0","","","","-9.0","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
