"Press Release Title","Study sheds light on memory loss","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","11beta-hydroxysteroid dehydrogenase type 1 deficiency prevents memory deficits with aging by switching from glucocorticoid receptor to mineralocorticoid receptor-mediated cognitive control.","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","7.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Techniques","8.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","8.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","05-11-011","Available for Coding?","1.0","1.0","1.0","1.0","1.0","","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Date Published","","39156.0","39177.0","39177.0","39178.0","","39178.0","","","","39177.0","","","","","","","","","","","","","","","","","","","39177.0","","","","","",""
"","","Word Count - Title","","20.0","6.0","17.0","3.0","","5.0","","","","7.0","","","","","","","","","","","","","","","","","","","8.0","","","","","",""
"","","Word Count - Body","3000.0","190.0","440.0","320.0","100.0","","140.0","","","","410.0","","","","","","","","","","","","","","","","","","","410.0","","","","","",""
"","","Sentence Count","","","29.0","16.0","6.0","","7.0","","","","18.0","","","","","","","","","","","","","","","","","","","19.0","","","","","",""
"","","Who is it written by?","","","","4.0","4.0","","4.0","","","","4.0","","","","","","","","","","","","","","","","","","","4.0","","","","","",""
"","","Journalist code","","","","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Title","IV(s) in title","","11beta-hydroxysteroid dehydrogenase type 1 deficiency","-9.0","too much stress","-9.0","","hormone","","","","stress","","","","","","","","","","","","","","","","","","","stress","","","","","",""
"","","DV(s) in title","","memory deficits ","memory loss","memory","memory loss","","memory loss","","","","memory loss","","","","","","","","","","","","","","","","","","","memory loss","","","","","",""
"","","Who is it About?","","-9.0","2.0","1.0","-9.0","","-9.0","","","","2.0","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","0.0","0.0","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Statement of Cause","","6.0","0.0","6.0","0.0","","0.0","","","","6.0","","","","","","","","","","","","","","","","","","","6.0","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","glucocorticoids","level of the stress hormone cortisol","stress","stress","","stress hormone","","","","stress","","","","","","","","","","","","","","","","","","","stress hormone cortisol","","","","","",""
"","","IV Code","","20.0","20.0","20.0","20.0","","20.0","","","","20.0","","","","","","","","","","","","","","","","","","","20.0","","","","","",""
"","","Is this IV in the first 2 sentences?","","","0.0","1.0","1.0","","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","11.0","9.0","4.0","","4.0","","","","9.0","","","","","","","","","","","","","","","","","","","9.0","","","","","",""
"","","Words to First Mention","","","31.0","0.0","7.0","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","What terms were included in the count?","","","stress, stress producing hormone cortisol","stress, cortisol, stress hormone","cortisol","","hormone, cortisol","","","","stress hormone, cortisol","","","","","","","","","","","","","","","","","","","stress, cortisol","","","","","",""
"","","is there ambiguity?","","0.0","0.0","0.0","0.0","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","if yes describe","","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","0.0","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Note differences here","","","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Actual IV for this","glucocorticoids","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","0.0","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
""," ","Words to First Mention","","","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Main Conclusion DV","Main DV of Conclusions ","","age related memory deficits","memory loss","memory loss","memory loss","","memory loss","","","","memory loss","","","","","","","","","","","","","","","","","","","memory loss","","","","","",""
"","","Code of Main DV","","13.0","13.0","13.0","13.0","","13.0","","","","13.0","","","","","","","","","","","","","","","","","","","13.0","","","","","",""
"","","Is this DV in the first 2 sentences?","","","1.0","1.0","1.0","","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the DV is mentioned on","","","15.0","12.0","6.0","","6.0","","","","13.0","","","","","","","","","","","","","","","","","","","11.0","","","","","",""
"","","Words to First Mention","","","0.0","0.0","0.0","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","What terms were included in the count?","","","able to remember, forgetfulness","memory, remember","forgetfulness, recall","","forgetfulness","","","","memory, forgetfulness, remember","","","","","","","","","","","","","","","","","","","memory loss, forgetfulness","","","","","",""
"","","is there ambiguity?","","0.0","0.0","0.0","0.0","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","if yes describe","","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same DV being coded here as the abstract?","","","0.0","0.0","0.0","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Note differences here","","","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Actual DV for this","age related memory deficits","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","0.0","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","is the DV quantified ","","0.0","0.0","0.0","0.0","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Base Rate Mentioned","","0.0","0.0","0.0","0.0","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Second IV","Second IV of Conclusions (or quasi IV)","","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","How does this IV relate to the research article","","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","IV Code","","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","is there ambiguity?","","","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","if yes describe","","","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Note differences here","","","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Actual IV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
