"Press Release Title","Diesel particles pose heart risks","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Combustion-derived nanoparticulate induces the adverse vascular effects of diesel exhaust inhalation","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","2.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","05-11-021","Available for Coding?","1.0","1.0","1.0","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Date Published","","39275.0","39284.0","39277.0","","","39276.0","","","","","","","","","","","","","","","","","","","","","","","39276.0","","","","39295.0","",""
"","","Word Count - Title","","11.0","5.0","8.0","","","7.0","","","","","","","","","","","","","","","","","","","","","","","8.0","","","","8.0","",""
"","","Word Count - Body","5000.0","260.0","450.0","480.0","","","450.0","","","","","","","","","","","","","","","","","","","","","","","440.0","","","","350.0","",""
"","","Sentence Count","","","30.0","18.0","","","18.0","","","","","","","","","","","","","","","","","","","","","","","19.0","","","","10.0","",""
"","","Who is it written by?","","","","4.0","","","3.0","","","","","","","","","","","","","","","","","","","","","","","4.0","","","","3.0","",""
"","","Journalist Code","","","","-9.0","","","3.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","3.0","",""
"","Title","IV(s) in title","","diesel exhaust inhalation","diesel particles","Diesel fumes","","","diesel exhaust fumes","","","","","","","","","","","","","","","","","","","","","","","diesel fume particles","","","","diesel particle emmissions","",""
"","","DV(s) in title","","adverse vascular effects","heart risks","risk of heart attacks","","","blood clot risk","","","","","","","","","","","","","","","","","","","","","","","heart attack risks","","","","heart attacks","",""
"","","Who is it About?","","-9.0","2.0","2.0","","","2.0","","","","","","","","","","","","","","","","","","","","","","","2.0","","","","2.0","",""
