"Press Release Title","Drug could used for heart patients","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Rivaroxaban versus Warfarin in Nonvalvular Atrial Fibrillation","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","3.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Techniques","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","05-11-024","Available for Coding?","1.0","1.0","1.0","","","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Date Published","","39332.0","39304.0","","","39304.0","","","","","","","39304.0","","","","","","","","","","","","","","","","39303.0","","","","39303.0","",""
"","","Word Count - Title","","7.0","7.0","","","4.0","","","","","","","7.0","","","","","","","","","","","","","","","","7.0","","","","7.0","",""
"","","Word Count - Body","4000.0","400.0","460.0","","","140.0","","","","","","","300.0","","","","","","","","","","","","","","","","340.0","","","","460.0","",""
"","","Sentence Count","","","27.0","","","7.0","","","","","","","14.0","","","","","","","","","","","","","","","","19.0","","","","22.0","",""
"","","Who is it written by?","","","","","","3.0","","","","","","","2.0","","","","","","","","","","","","","","","","4.0","","","","3.0","",""
"","","Journalist Code","","","","","","3.0","","","","","","","-9.0","","","","","","","","","","","","","","","","-9.0","","","","2.0","",""
"","Title","IV(s) in title","","Rivaroxaban, Warfarin","Drug","","","Heart pill","","","","","","","New drug","","","","","","","","","","","","","","","","New drug","","","","Bayer anti-clot drug","",""
"","","DV(s) in title","","Nonvalvular atrial fibrillation","-9.0","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","Irregular heart beats","","","","-9.0","",""
"","","Who is it About?","","-9.0","1.0","","","-9.0","","","","","","","1.0","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
