"Press Release Title","Staying slim could be in the genes","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","A Stratified Transcriptomics Analysis of Polygenic Fat and Lean Mouse Adipose Tissues Identifies Novel Candidate Obesity Genes","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","05-11-025","Available for Coding?","1.0","1.0","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Date Published","","39331.0","39346.0","","","","39333.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","39333.0"
"","","Word Count - Title","","17.0","7.0","","","","8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.0"
"","","Word Count - Body","8000.0","290.0","340.0","","","","500.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","160.0"
"","","Sentence Count","","","13.0","","","","23.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.0"
"","","Who is it written by?","","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0"
"","","Journalist Code","","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Title","IV(s) in title","","Polygenic fat and lean mouse adipose tissue","Staying slim","","","","Obesity ","","","","","","","","","","","","","","","","","","","","","","","","","","","","Being fat"
"","","DV(s) in title","","Novel candidate obesity genes","Genes","","","","Fat genes drug","","","","","","","","","","","","","","","","","","","","","","","","","","","","Genes"
"","","Who is it About?","","4.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Are there quotes in the title?","","0.0","0.0","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Statement of Cause","","0.0","4.0","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Polygenic fat mouse strain vs lean strain","Fat storage/ fat tissue","","","","Fat storage/ fat tissue","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fat tissue/weight"
"","","IV Code","","25.0","25.0","","","","25.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.0"
"","","Is this IV in the first 2 sentences?","","","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Sentences the IV is mentioned on","","","12.0","","","","14.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.0"
"","","Words to First Mention","","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","Slim, fat storage, retain fat, fat tissue, overweight, weight gain, fatty tissue","","","","Obesity, obese, overweight, fat deposit, slim, fat storage, fat tissue","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fat, slim, carry more weight, fat tissue, fat or thin, overweight"
"","","is there ambiguity?","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","2.0","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0"
"","","Note differences here","","","The IV is the fat vs lean strains of mice","","","","The IV is the fat vs lean strains of mice","","","","","","","","","","","","","","","","","","","","","","","","","","","","The IV is the fat vs lean strains of mice"
"","","Actual IV for this","Fat and lean lines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","25.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","2.0","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","3.0","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
""," ","Words to First Mention","","","43.0","","","","211.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.0"
"","","What terms were included in the count?","","-9.0","Slectively bred, bred, thin offspring","","","","Mice which had been bred to be thin, by breeding fat and thin mice","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mice that had been bred for many generalisations"
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Main Conclusion DV","Main DV of Conclusions ","","Adipose tissue-enriched genes","Genes","","","","Genes","","","","","","","","","","","","","","","","","","","","","","","","","","","","Genes"
"","","Code of Main DV","","19.0","19.0","","","","19.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.0"
"","","Is this DV in the first 2 sentences?","","","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Sentences the DV is mentioned on","","","12.0","","","","15.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.0"
"","","Words to First Mention","","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","Genes, genetic factors, hereditary, ","","","","Genes, gene, genetic, hereditary","","","","","","","","","","","","","","","","","","","","","","","","","","","","Genes"
"","","is there ambiguity?","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same DV being coded here as the abstract?","","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual DV for this","Adipose-enriched genes ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","19.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is the DV quantified ","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Base Rate Mentioned","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Second IV","Second IV of Conclusions (or quasi IV)","","Chronic high fat feeding","Diets","","","","Diet","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","How does this IV relate to the research article","","2.0","2.0","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","IV Code","","4.0","4.0","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of Sentences the IV is mentioned on","","","2.0","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","1.0","","","","98.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","","Diets, fatty foods","","","","Whatever food is consumed, diet","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is there ambiguity?","","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","if yes describe","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Note differences here","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual IV for this","High fat feeding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code ","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Second DV","Second DV of Conclusions","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","How does this DV relate to the research article","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Code of DV","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of Sentences the DV is mentioned on","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is there ambiguity?","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","if yes describe","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same DV being coded here as the abstract?","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Note differences here","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual DV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of sentences actual DV is mentioned in","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
