"Press Release Title","Need for sleep lies in our genes","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","A K(ATP) channel gene effect on sleep duration : from genome-wide association studies to function in Drosophila","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","-9.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","05-11-036","Available for Coding?","1.0","1.0","1.0","1.0","1.0","","","","","1.0","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","","","1.0"
"","","Date Published","","39407.0","39422.0","39420.0","39420.0","","","","","39420.0","39420.0","","","","","","","","","","","","","","","","","","","39420.0","","","","","","39420.0"
"","","Word Count - Title","","17.0","7.0","14.0","6.0","","","","","7.0","8.0","","","","","","","","","","","","","","","","","","","8.0","","","","","","9.0"
"","","Word Count - Body","4000.0","180.0","290.0","330.0","130.0","","","","","210.0","150.0","","","","","","","","","","","","","","","","","","","410.0","","","","","","230.0"
"","","Sentence Count","","","15.0","17.0","7.0","","","","","11.0","10.0","","","","","","","","","","","","","","","","","","","20.0","","","","","","9.0"
"","","Who is it written by?","","","","4.0","3.0","","","","","4.0","3.0","","","","","","","","","","","","","","","","","","","4.0","","","","","","3.0"
"","","Journalist Code","","","","-9.0","3.0","","","","","-9.0","2.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","3.0"
"","Title","IV(s) in title","","A K(ATP) channel gene","genes","genes","mutant gene","","","","","genes","genes","","","","","","","","","","","","","","","","","","","genes","","","","","","gene"
"","","DV(s) in title","","sleep duration","sleep","hard to drag yourself out of bed ","laziness","","","","","sleep","how long you sleep","","","","","","","","","","","","","","","","","","","liking a lie-in","","","","","","rest"
"","","Who is it About?","","8.0","2.0","1.0","2.0","","","","","1.0","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","","","2.0"
"","","Are there quotes in the title?","","0.0","0.0","0.0","1.0","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
"","","Statement of Cause","","6.0","6.0","6.0","6.0","","","","","6.0","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","ABCC9 gene","gene known as ABCC9","variant of ABCC9","ABCC9 gene","","","","","gene ABCC9 ","gene ABCC9 ","","","","","","","","","","","","","","","","","","","gene ABCC9","","","","","","gene ABCC9 "
"","","IV Code","","19.0","19.0","19.0","19.0","","","","","19.0","19.0","","","","","","","","","","","","","","","","","","","19.0","","","","","","19.0"
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","1.0","","","","","1.0","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","","","1.0"
"","","Number of Sentences the IV is mentioned on","","","9.0","10.0","3.0","","","","","4.0","5.0","","","","","","","","","","","","","","","","","","","11.0","","","","","","7.0"
"","","Words to First Mention","","","0.0","0.0","0.0","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
"","","What terms were included in the count?","","","genes, gene, ABCC9, gene variant, DNA","genes, ABCC9, sleep switch, gene variant, DNA","gene","","","","","genes, gene, ABCC9","genes, gene, ABCC9, DNA","","","","","","","","","","","","","","","","","","","gene, ABCC9, genes, variant, DNA","","","","","","gene, DNA, ABCC9"
"","","is there ambiguity?","","0.0","0.0","0.0","0.0","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
