"Press Release Title","
University produces world’s most accurate IVF predictor 
","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Predicting Live Birth, Preterm Delivery, and Low Birth Weight in Infants Born from In Vitro Fertilisation: A Prospective Study of 144,018 Treatment Cycles","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","1.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","3.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","5.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","8.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","06-11-001","Available for Coding?","1.0","1.0","1.0","1.0","","1.0","1.0","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","39085.0","39086.0","39086.0","","39086.0","39088.0","","39086.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","23.0","7.0","18.0","","8.0","11.0","","9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","7000.0","290.0","560.0","520.0","","150.0","140.0","","410.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","19.0","22.0","","9.0","5.0","","15.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","1.0","","3.0","4.0","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Journalist Code","","","","-9.0","","1.0","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","-9.0","-9.0","-9.0","","Phone app","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","live birth, preterm delivery and low birth weight","-9.0","IVF Chances","","chance of IVF baby","IVF Baby","","Pregnancy predictions","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it About?","","1.0","-9.0","1.0","","1.0","1.0","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","0.0","","0.0","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Statement of Cause","","3.0","-9.0","0.0","","0.0","0.0","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Couple characteristics","Details of IVF cycles","simple questions","","couples give details","IVF calculator","","Factors affecting your chance of IVF success","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","","20.0","20.0","20.0","","20.0","20.0","","20.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","","1.0","1.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","3.0","4.0","","2.0","3.0","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","20.0","19.0","","1.0","1.0","","121.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","many other factors, listing the details used (age etc)","factors","","Using a phone App","as above","","collected data","","","","","","","","","","","","","","","","","","","","","","","","","",""
