"Press Release Title","Middle aged diabetes patients can die six years earlier","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Diabetes Mellitus, Fasting Glucose, and Risk of Cause-Specific Death","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","2.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","8.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","06-11-006","Available for Coding?","1.0","1.0","1.0","1.0","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Date Published","","39143.0","39143.0","39143.0","","","","","39143.0","","","","","","","","","","","","","","","","","","","","","","","","","39142.0","",""
"","","Word Count - Title","","9.0","9.0","8.0","","","","","8.0","","","","","","","","","","","","","","","","","","","","","","","","","8.0","",""
"","","Word Count - Body","4000.0","310.0","460.0","420.0","","","","","700.0","","","","","","","","","","","","","","","","","","","","","","","","","470.0","",""
"","","Sentence Count","","","17.0","15.0","","","","","36.0","","","","","","","","","","","","","","","","","","","","","","","","","17.0","",""
"","","Who is it written by?","","","","2.0","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","4.0","",""
"","","","","","","-9.0","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","Title","IV(s) in title","","Diabetes Mellitus, Fasting Glucose,","diabetes","diabetes in middle age","","","","","diabetes","","","","","","","","","","","","","","","","","","","","","","","","","diabetics","",""
"","","DV(s) in title","","Risk of Cause-Specific Death","death","life","","","","","death","","","","","","","","","","","","","","","","","","","","","","","","","risk of death from cancer","",""
"","","Who is it About?","","2.0","1.0","1.0","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Are there quotes in the title?","","0.0","0.0","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Statement of Cause","","0.0","5.0","5.0","","","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","2.0","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","diabetes","diabetes","diabetes","","","","","diabetes","","","","","","","","","","","","","","","","","","","","","","","","","diabetes","",""
"","","IV Code","","18.0","18.0","18.0","","","","","18.0","","","","","","","","","","","","","","","","","","","","","","","","","18.0","",""
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Number of Sentences the IV is mentioned on","","","13.0","13.0","","","","","22.0","","","","","","","","","","","","","","","","","","","","","","","","","15.0","",""
"","","Words to First Mention","","","0.0","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","What terms were included in the count?","","","diabetes","diabetes","","","","","diabetes, diabetics, the condition","","","","","","","","","","","","","","","","","","","","","","","","","diabetics, diabetes, disease","",""
"","","is there ambiguity?","","0.0","0.0","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","if yes describe","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Note differences here","","","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Actual IV for this","diabetes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","18.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
""," ","Words to First Mention","","","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","Main Conclusion DV","Main DV of Conclusions ","","death from several cancers, infectious diseases, external causes, intentional selfharm,
and degenerative disorders","life expectancy","life expectancy","","","","","death rates from various causes ","","","","","","","","","","","","","","","","","","","","","","","","","the risk of dying from many cancers and other diseases","",""
"","","Code of Main DV","","21.0","21.0","21.0","","","","","21.0","","","","","","","","","","","","","","","","","","","","","","","","","21.0","",""
"","","Is this DV in the first 2 sentences?","","","1.0","1.0","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Number of Sentences the DV is mentioned on","","","8.0","7.0","","","","","10.0","","","","","","","","","","","","","","","","","","","","","","","","","8.0","",""
"","","Words to First Mention","","","0.0","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","What terms were included in the count?","","","die (title), life expectancy, risk of death/dying, ","reduce your life, cut your life short, life expectancy, risk of death","","","","","dies, dying, death rates, risk of dying, risk of suicide, these risks, life expectancy","","","","","","","","","","","","","","","","","","","","","","","","","risk of death, risk of dying, odds of dying, cancer risks, deaths from many other causes, death causes","",""
"","","is there ambiguity?","","0.0","0.0","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","if yes describe","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Is the same DV being coded here as the abstract?","","","0.0","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Note differences here","","","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Actual DV for this","cause-specific rates of death","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","21.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","1.0","1.0","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","is the DV quantified ","","1.0","1.0","1.0","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
