"Press Release Title","Lancet study challenges 'apple shape' health risk","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Separate and combined associations of body-mass index and abdominal adiposity with cardiovascular disease: collaborative analysis of 58 prospective studies","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","7.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","06-11-007","Available for Coding?","1.0","1.0","1.0","1.0","","1.0","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Date Published","","39151.0","39150.0","39152.0","","39151.0","39151.0","","","39151.0","","","","","","","","","","","","","","","","","","","","39151.0","","","","39151.0","",""
"","","Word Count - Title","","19.0","7.0","12.0","","4.0","10.0","","","11.0","","","","","","","","","","","","","","","","","","","","8.0","","","","7.0","",""
"","","Word Count - Body","5000.0","380.0","470.0","490.0","","130.0","250.0","","","490.0","","","","","","","","","","","","","","","","","","","","570.0","","","","520.0","",""
"","","Sentence Count","","","17.0","23.0","","7.0","15.0","","","21.0","","","","","","","","","","","","","","","","","","","","25.0","","","","18.0","",""
"","","Who is it written by?","","","","4.0","","2.0","3.0","","","3.0","","","","","","","","","","","","","","","","","","","","2.0","","","","3.0","",""
"","","Journalist Code","","","","-9.0","","-9.0","2.0","","","2.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","1.0","",""
"","Title","IV(s) in title","","Separate and combined body-mass index and abdominal adiposity","apple shape'","‘apple-shape’ ","","-9.0","Pot Belly","","","Body Shape","","","","","","","","","","","","","","","","","","","","apple shape'","","","","""Apple"" obesity ","",""
"","","DV(s) in title","","cardiovascular disease","Health Risk","dangerous to the heart","","Fat Risk","Heart Risk","","","Health","","","","","","","","","","","","","","","","","","","","Heart Risk","","","","Heart Risk","",""
"","","Who is it About?","","2.0","2.0","2.0","","-9.0","2.0","","","2.0","","","","","","","","","","","","","","","","","","","","2.0","","","","2.0","",""
