"Press Release Title","Decoding brainwaves lets scientists read minds","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Cracking the Code of Oscillatory Activity","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","7.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","COMPLETE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","6.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","06-11-011","Available for Coding?","1.0","1.0","1.0","","1.0","1.0","1.0","","","","","1.0","","","","","","","","","","","","","","","","","","1.0","","","1.0","","","1.0"
"","","Date Published","","39218.0","39219.0","","39219.0","39220.0","39219.0","","","","","39220.0","","","","","","","","","","","","","","","","","","39219.0","","","39219.0","","","39219.0"
"","","Word Count - Title","","6.0","6.0","","4.0","2.0","5.0","","","","","4.0","","","","","","","","","","","","","","","","","","5.0","","","4.0","","","8.0"
"","","Word Count - Body","4000.0","210.0","560.0","","70.0","20.0","340.0","","","","","18.0","","","","","","","","","","","","","","","","","","390.0","","","310.0","","","260.0"
"","","Sentence Count","","","23.0","","5.0","2.0","18.0","","","","","2.0","","","","","","","","","","","","","","","","","","24.0","","","18.0","","","14.0"
"","","Who is it written by?","","","","","4.0","4.0","3.0","","","","","4.0","","","","","","","","","","","","","","","","","","4.0","","","1.0","","","3.0"
"","","Journalist Code","","","","","-9.0","-9.0","3.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","3.0"
"","Title","IV(s) in title","","oscillatory activity","decoding brain waves","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","DV(s) in title","","-9.0","reading minds","","-9.0","-9.0","reading minds","","","","","mind","","","","","","","","","","","","","","","","","","brainwaves","","","minds ","","","mind"
"","","Who is it About?","","-9.0","1.0","","-9.0","-9.0","1.0","","","","","1.0","","","","","","","","","","","","","","","","","","1.0","","","1.0","","","1.0"
"","","Are there quotes in the title?","","0.0","0.0","","0.0","0.0","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","0.0","","","0.0","","","0.0"
"","","Statement of Cause","","0.0","6.0","","-9.0","-9.0","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","0.0","","","0.0","","","0.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","coding of visual features","type of information","","part of the face being looked at","-9.0","visual information","","","","","-9.0","","","","","","","","","","","","","","","","","","type of information ","",""," images of people's faces displaying different emotions such as happiness, fear and surprise","","","type of information"
"","","IV Code","","20.0","20.0","","20.0","-9.0","20.0","","","","","-9.0","","","","","","","","","","","","","","","","","","20.0","","","20.0","","","20.0"
"","","Is this IV in the first 2 sentences?","","","1.0","","1.0","-9.0","0.0","","","","","-9.0","","","","","","","","","","","","","","","","","","1.0","","","0.0","","","0.0"
"","","Number of Sentences the IV is mentioned on","","","12.0","","2.0","-9.0","10.0","","","","","-9.0","","","","","","","","","","","","","","","","","","14.0","","","11.0","","","7.0"
"","","Words to First Mention","","","30.0","","19.0","-9.0","53.0","","","","","-9.0","","","","","","","","","","","","","","","","","","19.0","","","32.0","","","52.0"
"","","What terms were included in the count?","","","as above, images of people’s faces, looking at different parts of the face, visual features, encode two different parts of the face ","","as above, content","-9.0","as above, content, looking at faces, messages, features","","","","","-9.0","","","","","","","","","","","","","","","","","","as above, different emotions on images of human faces, images, features, visual features","","","as above, content, which part of the face was being looked at, messages, visual features","","","as above, content, images of people's faces, displaying different emotions such as happiness, fear and surprise, identitfy the emotion, "
"","","is there ambiguity?","","0.0","0.0","","0.0","-9.0","0.0","","","","","-9.0","","","","","","","","","","","","","","","","","","0.0","","","0.0","","","0.0"
"","","if yes describe","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","","0.0","-9.0","0.0","","","","","-9.0","","","","","","","","","","","","","","","","","","0.0","","","0.0","","","0.0"
"","","Note differences here","","","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","Actual IV for this","coding of behaviorally relevant information","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","0.0","-9.0","0.0","","","","","-9.0","","","","","","","","","","","","","","","","","","0.0","","","0.0","","","0.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
""," ","Words to First Mention","","","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","Words to First Mention","","","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","Words to First Mention","","","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","Main Conclusion DV","Main DV of Conclusions ","","oscillatory activity in the brain","Brainwaves","","brain signals","brain signals","Brainwaves ","","","","","Brainwaves","","","","","","","","","","","","","","","","","","Brainwaves","","","Brainwaves","","","Brainwaves"
"","","Code of Main DV","","20.0","20.0","","20.0","20.0","20.0","","","","","20.0","","","","","","","","","","","","","","","","","","20.0","","","20.0","","","20.0"
"","","Is this DV in the first 2 sentences?","","","1.0","","1.0","1.0","0.0","","","","","1.0","","","","","","","","","","","","","","","","","","1.0","","","1.0","","","0.0"
"","","Number of Sentences the DV is mentioned on","","","12.0","","2.0","1.0","9.0","","","","","1.0","","","","","","","","","","","","","","","","","","13.0","","","9.0","","","6.0"
"","","Words to First Mention","","","0.0","","19.0","1.0","34.0","","","","","1.0","","","","","","","","","","","","","","","","","","0.0","","","17.0","","","52.0"
"","","What terms were included in the count?","","","as above, oscillatory networks of the brain, brain tunes, beta waves, EEG activity","","as above","as above","as above, brain encodes, signals, patterns of electrical activity, which part of the mind becomes active","","","","","as above","","","","","","","","","","","","","","","","","","as above, signals, waves, EEG","","","as above, brain signals,","","","as above, signal, beta-waves"
"","","is there ambiguity?","","0.0","0.0","","0.0","0.0","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","0.0","","","0.0","","","0.0"
"","","if yes describe","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","Is the same DV being coded here as the abstract?","","","0.0","","0.0","0.0","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","0.0","","","0.0","","","0.0"
"","","Note differences here","","","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","Actual DV for this","oscillatory activity (relative contribution of frequency, amplitude, and
phase)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","0.0","0.0","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","0.0","","","0.0","","","0.0"
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","Words to First Mention","","","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","Words to First Mention","","","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","Words to First Mention","","","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","is the DV quantified ","","0.0","0.0","","0.0","0.0","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","-9.0","","","0.0","","","0.0"
"","","Base Rate Mentioned","","0.0","0.0","","0.0","0.0","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","-9.0","","","0.0","","","0.0"
"","","Words to First Mention","","","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","Second IV","Second IV of Conclusions (or quasi IV)","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","How does this IV relate to the research article","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","IV Code","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","Number of Sentences the IV is mentioned on","","","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","Words to First Mention","","","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","What terms were included in the count?","","","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","is there ambiguity?","","","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","if yes describe","","","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","Note differences here","","","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","Actual IV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
"","","Words to First Mention","","","-9.0","","-9.0","-9.0","-9.0","","","","","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","","","-9.0"
