"Press Release Title","Diabetes risk associated with heart medication","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Risk of Incident Diabetes With Intensive-Dose Compared With Moderate-Dose Statin Therapy A Meta-analysis ","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","3.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","06-11-014","Available for Coding?","1.0","1.0","1.0","1.0","","","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","22-/06/2011","39255.0","39254.0","","","39254.0","","","","39258.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","13.0","6.0","9.0","","","9.0","","","","8.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","4000.0","330.0","300.0","440.0","","","490.0","","","","330.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","13.0","18.0","","","22.0","","","","12.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","3.0","","","3.0","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Journalist Code","","","","","","","3.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","Intensive-dose compared with moderate-dose statin therapy","Heart medication","Statins","","","Statins","","","","High dose of anti-cholesterol drug","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","Diabetes","Diabetes risk","Diabetes","","","Danger","","","","Diabetes","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it About?","","-9.0","-9.0","-9.0","","","1.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","0.0","","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Statement of Cause","","0.0","2.0","4.0","","","5.0","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Statin therapy","Statin therapy","Statins","","","Simvastatin vs atorvastatin","","","","Statins (dosage)","","","","","","","","","","","","","","","","","","","","","","","",""
