"Press Release Title","Men develop diabetes at lower BMIs than women ","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Do men develop type 2 diabetes at lower body mass indices than women?","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","2.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","06-11-023","Available for Coding?","1.0","1.0","1.0","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","","","1.0"
"","","Date Published","","39354.0","39356.0","","","","","","","","39357.0","","","","","","","","","","","","","","","","","","","39357.0","","","","","","39357.0"
"","","Word Count - Title","","13.0","8.0","","","","","","","","7.0","","","","","","","","","","","","","","","","","","","7.0","","","","","","8.0"
"","","Word Count - Body","2000.0","250.0","530.0","","","","","","","","50.0","","","","","","","","","","","","","","","","","","","400.0","","","","","","180.0"
"","","Sentence Count","","","22.0","","","","","","","","4.0","","","","","","","","","","","","","","","","","","","18.0","","","","","","9.0"
"","","Who is it written by?","","","","","","","","","","","4.0","","","","","","","","","","","","","","","","","","","4.0","","","","","","3.0"
"","","Journalist Code","","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","3.0"
"","Title","IV(s) in title","","Men, women, body mass indices","Men, women, BMIs","","","","","","","","Men","","","","","","","","","","","","","","","","","","","Men","","","","","","Men, women, weight"
"","","DV(s) in title","","Type 2 diabetes","Diabetes","","","","","","","","Type-2 diabetes","","","","","","","","","","","","","","","","","","","Type 2 diabetes","","","","","","Diabetes"
"","","Who is it About?","","1.0","1.0","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","","","1.0"
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","1.0","","","","","","0.0"
"","","Statement of Cause","","0.0","2.0","","","","","","","","2.0","","","","","","","","","","","","","","","","","","","2.0","","","","","","2.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Gender","Gender","","","","","","","","Gender","","","","","","","","","","","","","","","","","","","Gender","","","","","","Gender"
"","","IV Code","","27.0","27.0","","","","","","","","27.0","","","","","","","","","","","","","","","","","","","27.0","","","","","","27.0"
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","","","1.0"
"","","Number of Sentences the IV is mentioned on","","","14.0","","","","","","","","4.0","","","","","","","","","","","","","","","","","","","14.0","","","","","","8.0"
"","","Words to First Mention","","","0.0","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
"","","What terms were included in the count?","","","Men, women, ","","","","","","","","Men","","","","","","","","","","","","","","","","","","","Men, women","","","","","","Men"
"","","is there ambiguity?","","0.0","0.0","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
"","","Note differences here","","","-9.0","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Actual IV for this","Gender","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","27.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
""," ","Words to First Mention","","","-9.0","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","Main Conclusion DV","Main DV of Conclusions ","","Type 2 diabetes","Type 2 diabetes","","","","","","","","Type 2 diabetes","","","","","","","","","","","","","","","","","","","Type 2 diabetes","","","","","","Type 2 diabetes"
"","","Code of Main DV","","18.0","18.0","","","","","","","","18.0","","","","","","","","","","","","","","","","","","","18.0","","","","","","18.0"
"","","Is this DV in the first 2 sentences?","","","1.0","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","","","1.0"
"","","Number of Sentences the DV is mentioned on","","","19.0","","","","","","","","4.0","","","","","","","","","","","","","","","","","","","15.0","","","","","","9.0"
"","","Words to First Mention","","","0.0","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
"","","What terms were included in the count?","","","Type 2 diabetes, diabetes, ","","","","","","","","Type-2 diabetes, the disease, diabetes","","","","","","","","","","","","","","","","","","","Type 2 diabetes, the condition, the disease, diabetes","","","","","","Diabetes, type 2 diabetes, the disease"
"","","is there ambiguity?","","0.0","0.0","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Is the same DV being coded here as the abstract?","","","0.0","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
"","","Note differences here","","","-9.0","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Actual DV for this","Type 2 diabetes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","18.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","is the DV quantified ","","1.0","1.0","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","1.0","","","","","","1.0"
"","","Base Rate Mentioned","","0.0","0.0","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
"","","Words to First Mention","","","-9.0","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","Second IV","Second IV of Conclusions (or quasi IV)","","BMI","Body Mass Index (BMIs)","","","","","","","","Body mass index","","","","","","","","","","","","","","","","","","","Body mass index","","","","","","BMI"
"","","How does this IV relate to the research article","","2.0","2.0","","","","","","","","2.0","","","","","","","","","","","","","","","","","","","2.0","","","","","","2.0"
"","","IV Code","","25.0","25.0","","","","","","","","25.0","","","","","","","","","","","","","","","","","","","25.0","","","","","","25.0"
"","","Number of Sentences the IV is mentioned on","","","13.0","","","","","","","","2.0","","","","","","","","","","","","","","","","","","","10.0","","","","","","6.0"
"","","Words to First Mention","","","0.0","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","0.0","","","","","","0.0"
