"Press Release Title","Obesity has doubled since 1980, major global analysis of risk factors reveals","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","National, regional, and global trends in body-mass index since 1980: systematic analysis of health examination surveys and epidemiological studies with 960 country-years and 9•1 million participants","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","2.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","5.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","8.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","07-11-002","Available for Coding?","1.0","1.0","1.0","1.0","1.0","","1.0","","1.0","1.0","","","","","","","","","","","","","","","","","","1.0","","1.0","","","","","",""
"","","Date Published","","39124.0","39116.0","39116.0","39116.0","","39116.0","","39121.0","39116.0","","","","","","","","","","","","","","","","","","39119.0","","39116.0","","","","","",""
"","","Word Count - Title","","27.0","12.0","17.0","6.0","","7.0","","7.0","7.0","","","","","","","","","","","","","","","","","","3.0","","9.0","","","","","",""
"","","Word Count - Body","5000.0","400.0","1020.0","440.0","230.0","","270.0","","560.0","500.0","","","","","","","","","","","","","","","","","","160.0","","700.0","","","","","",""
"","","Sentence Count","","","43.0","24.0","17.0","","19.0","","30.0","29.0","","","","","","","","","","","","","","","","","","11.0","","46.0","","","","","",""
"","","Who is it written by?","","","","3.0","1.0","","3.0","","2.0","2.0","","","","","","","","","","","","","","","","","","4.0","","4.0","","","","","",""
"","","","","","","2.0","-9.0","","2.0","","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","-9.0","","","","","",""
"","Title","IV(s) in title","","Since 1980","Risk factors","Women, Britain, Americans","countries, gender","","West Europe, gender","","Time since 1989","countries, gender","","","","","","","","","","","","","","","","","","-9.0","","-9.0","","","","","",""
"","","DV(s) in title","","National, regional, and global trends in body-mass index ","Obesity","Fattest","fat","","Fattest","","Obesity","Fattest","","","","","","","","","","","","","","","","","","-9.0","","Obesity","","","","","",""
"","","Who is it About?","","1.0","2.0","1.0","1.0","","1.0","","2.0","1.0","","","","","","","","","","","","","","","","","","2.0","","1.0","","","","","",""
