"Press Release Title","Boys will infect boys, swine flu study shows","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Role of social networks in shaping disease
transmission during a community outbreak
of 2009 H1N1 pandemic influenza","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","2.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","5.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","07-11-004","Available for Coding?","1.0","1.0","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Date Published","","39112.0","39113.0","","","","","","","39113.0","","","","","","","","","","","","","","","","","","","","","","","","","39113.0"
"","","Word Count - Title","","17.0","8.0","","","","","","","14.0","","","","","","","","","","","","","","","","","","","","","","","","","7.0"
"","","Word Count - Body","5000.0","250.0","580.0","","","","","","","91.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Sentence Count","","","19.0","","","","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","9.0"
"","","Who is it written by?","","","","","","","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","4.0"
"","","","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Title","IV(s) in title","","Social networks","Boys","","","","","","","Social network","","","","","","","","","","","","","","","","","","","","","","","","","Gender"
"","","DV(s) in title","","Disease transmission","Swine flu","","","","","","","Swine flu","","","","","","","","","","","","","","","","","","","","","","","","","Swine flu"
"","","Who is it About?","","2.0","1.0","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Statement of Cause","","0.0","6.0","","","","","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","6.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Social Networks","Gender","","","","","","","Gender","","","","","","","","","","","","","","","","","","","","","","","","","Gender"
"","","IV Code","","20.0","27.0","","","","","","","27.0","","","","","","","","","","","","","","","","","","","","","","","","","27.0"
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Sentences the IV is mentioned on","","","3.0","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","3.0"
"","","Words to First Mention","","","0.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","Boys, gender","","","","","","","Boys, gender","","","","","","","","","","","","","","","","","","","","","","","","","Gender, boys"
"","","is there ambiguity?","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual IV for this","Social networks (spread in structured
populations (household / school / community), and into the role of informal networks)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
""," ","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Main Conclusion DV","Main DV of Conclusions ","","Influenza transmission","Flu transmission","","","","","","","Transmission of swine flu","","","","","","","","","","","","","","","","","","","","","","","","","Spread of swine flu"
"","","Code of Main DV","","17.0","17.0","","","","","","","17.0","","","","","","","","","","","","","","","","","","","","","","","","","17.0"
"","","Is this DV in the first 2 sentences?","","","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Sentences the DV is mentioned on","","","11.0","","","","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","6.0"
"","","Words to First Mention","","","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","Pass on flu, flu transmission, epidemic spreas, the spread of H1N1, transmit flu, transmission rate, rates of transmission, spread, flu epidemic spread, ","","","","","","","Swine flu, transmit the infection, flu epidemic spreads","","","","","","","","","","","","","","","","","","","","","","","","","Spread of swine flu, transmit the infection, transmission rates, flu transmission, flu epidemic"
"","","is there ambiguity?","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same DV being coded here as the abstract?","","","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual DV for this","Nature of influenza spread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","17.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is the DV quantified ","","1.0","1.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Base Rate Mentioned","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Second IV","Second IV of Conclusions (or quasi IV)","","-9.0","Social networks","","","","","","","Social network","","","","","","","","","","","","","","","","","","","","","","","","","Social networks"
"","","How does this IV relate to the research article","","-9.0","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","IV Code","","-9.0","20.0","","","","","","","20.0","","","","","","","","","","","","","","","","","","","","","","","","","20.0"
"","","Number of Sentences the IV is mentioned on","","","6.0","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","4.0"
"","","Words to First Mention","","","43.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","What terms were included in the count?","","","Social networks, classmates, same class, sitting next to a child with flu","","","","","","","Social network","","","","","","","","","","","","","","","","","","","","","","","","","Social network, classmates, sitting next to a child"
"","","is there ambiguity?","","","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Note differences here","","","This is the main IV in the research article","","","","","","","This is the main IV in the research article","","","","","","","","","","","","","","","","","","","","","","","","","This is the main IV in the research"
"","","Actual IV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Second DV","Second DV of Conclusions","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","How does this DV relate to the research article","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Code of DV","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of Sentences the DV is mentioned on","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is there ambiguity?","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","if yes describe","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same DV being coded here as the abstract?","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Note differences here","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual DV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
