"Press Release Title","Huge decline in HIV rates in Zimbabwe driven by fear of infection, says study","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","A Surprising Prevention Success: Why Did the HIV Epidemic Decline in Zimbabwe?","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","2.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","4.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","7.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","07-11-008","Available for Coding?","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Date Published","","39120.0","39120.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39120.0","",""
"","","Word Count - Title","","12.0","14.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.0","",""
"","","Word Count - Body","4000.0","180.0","690.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","460.0","",""
"","","Sentence Count","","","22.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","",""
"","","Who is it written by?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","Title","IV(s) in title","","-9.0","Fear of Infection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fear, social change","",""
"","","DV(s) in title","","HIV Epidemic Decline in Zimbabwe","Decline of HIV in Zimbabwe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Zimbabwe HIV rate","",""
"","","Who is it About?","","2.0","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Statement of Cause","","0.0","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Behaviour changes","Fear of infection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fear of infection and mass social change","",""
"","","IV Code","","13.0","13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Number of Sentences the IV is mentioned on","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","",""
"","","Words to First Mention","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","What terms were included in the count?","","","..fear of infection.. ..fear of contracting the virus.. ..changes in peoples' attitudes..","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","..fear, social change.. ..fear of infection and mass social change.. ..change their sexual behaviour..","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","if yes describe","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Note differences here","","","Although these are the same type, the press release emphasises behavioural changes through fear of infection while the abstract limits this to behavioural changes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Although these are the same type, this article emphasises behavioural changes through fear of infection while the abstract limits this to behavioural changes","",""
"","","Actual IV for this","changes in patterns of sexual behavior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
""," ","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","Main Conclusion DV","Main DV of Conclusions ","","HIV decline","decline in HIV rates","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","decline in HIV rates","",""
"","","Code of Main DV","","17.0","17.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0","",""
"","","Is this DV in the first 2 sentences?","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Number of Sentences the DV is mentioned on","","","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0","",""
"","","Words to First Mention","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","What terms were included in the count?","","","..decline in HIV rates.. ..drop in the numbers of people infected with HIV.. ..unexpected downturn.. ..the number of people infected with HIV.. ..downturn in Zimbabwe.. ..reductions in HIV infection.. ..drive infections down.. ..HIV/AIDS infection.. ..a decline in HIV/AIDS..","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","..Zimbabwe HIV rates.. ..huge decline in HIV rates.. ..the rate of people infected with HIV.. ..dramatic downturn in Zimbabwe..","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","if yes describe","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
