"Press Release Title","Sugary drinks associated with higher blood pressure","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Sugar-Sweetened Beverage, Sugar Intake of Individuals, and Their Blood Pressure","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","2.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","5.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","07-11-010","Available for Coding?","1.0","1.0","1.0","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Date Published","","39140.0","39140.0","39141.0","","","","","","39141.0","","","","","","","","","","","","","","","","","","","","39141.0","","","","","",""
"","","Word Count - Title","","10.0","7.0","9.0","","","","","","11.0","","","","","","","","","","","","","","","","","","","","8.0","","","","","",""
"","","Word Count - Body","5000.0","270.0","600.0","750.0","","","","","","150.0","","","","","","","","","","","","","","","","","","","","600.0","","","","","",""
"","","Sentence Count","","","24.0","32.0","","","","","","7.0","","","","","","","","","","","","","","","","","","","","29.0","","","","","",""
"","","Who is it written by?","","","","3.0","","","","","","4.0","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","","","","","2.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Title","IV(s) in title","","Sugar-Sweetened Beverage, Sugar Intake","sugary drinks","fizzy drinks","","","","","","sugary drinks","","","","","","","","","","","","","","","","","","","","Sugary soft drinks ","","","","","",""
"","","DV(s) in title","","blood pressure","blood pressure","blood pressure","","","","","","blood pressure","","","","","","","","","","","","","","","","","","","","blood pressure","","","","","",""
"","","Who is it About?","","1.0","2.0","2.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","1.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Statement of Cause","","0.0","2.0","6.0","","","","","","2.0","","","","","","","","","","","","","","","","","","","","3.0","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","sugar-sweetened beverages","sugary drink consumption","sugary drink consumption","","","","","","sugary drink intake","","","","","","","","","","","","","","","","","","","","drinking sugary beverages","","","","","",""
"","","IV Code","","4.0","4.0","4.0","","","","","","4.0","","","","","","","","","","","","","","","","","","","","4.0","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
