"Press Release Title","Scientists find gene linked to alcohol consumption","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Genome-wide association and genetic functional studies identify autism susceptibility candidate 2 gene (AUTS2) in the regulation of alcohol consumption","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","2.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","3.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","6.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","07-11-013","Available for Coding?","1.0","1.0","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Date Published","","39177.0","39176.0","","","39176.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39176.0"
"","","Word Count - Title","","19.0","7.0","","","5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0"
"","","Word Count - Body","5000.0","170.0","590.0","","","60.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110.0"
"","","Sentence Count","","","20.0","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0"
"","","Who is it written by?","","","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0"
"","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Title","IV(s) in title","","AUTS2 gene","gene","","","genes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gene "
"","","DV(s) in title","","alcohol consumption","alcohol consumption","","","alcohol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","drinking habit"
"","","Who is it About?","","2.0","2.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0"
"","","Are there quotes in the title?","","0.0","0.0","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Statement of Cause","","6.0","3.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Downregulation
of an AUTS2 homolog
","Genes","","","Genes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Gene "
"","","IV Code","","19.0","19.0","","","19.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.0"
"","","Is this IV in the first 2 sentences?","","","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Sentences the IV is mentioned on","","","16.0","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0"
"","","Words to First Mention","","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","as above,  AUTS2 ","","","as above, AUTS2, DNA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","As above, AUTS2"
"","","is there ambiguity?","","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual IV for this","AUTS2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","19.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
""," ","Words to First Mention","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Main Conclusion DV","Main DV of Conclusions ","","alcohol consumption/sensitivity","Alcohol consumption","","","Alcohol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Drinking habits"
"","","Code of Main DV","","7.0","7.0","","","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.0"
"","","Is this DV in the first 2 sentences?","","","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Sentences the DV is mentioned on","","","17.0","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0"
"","","Words to First Mention","","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","as above","","","as above, drinking, bingeing and addiction…","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","as above, "
"","","is there ambiguity?","","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same DV being coded here as the abstract?","","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual DV for this","alcohol intake","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is the DV quantified ","","1.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Base Rate Mentioned","","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Words to First Mention","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Second IV","Second IV of Conclusions (or quasi IV)","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","How does this IV relate to the research article","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","IV Code","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of Sentences the IV is mentioned on","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is there ambiguity?","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","if yes describe","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Note differences here","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual IV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
