"Press Release Title","Immigrant screening misses majority of imported latent TB, finds study","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Screening of immigrants in the UK for imported latent tuberculosis: a multicentre cohort study and cost-effectiveness analysis","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","8.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","3.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","4.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","6.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","07-11-017","Available for Coding?","1.0","1.0","1.0","","","","1.0","1.0","1.0","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","1.0","1.0","",""
"","","Date Published","","39192.0","39198.0","","","","39192.0","39192.0","39192.0","","39192.0","","","","","","","","","","","","","","","","","","","39192.0","","","39192.0","39192.0","",""
"","","Word Count - Title","","17.0","10.0","","","","7.0","8.0","26.0","","6.0","","","","","","","","","","","","","","","","","","","5.0","","","6.0","8.0","",""
"","","Word Count - Body","5000.0","310.0","600.0","","","","150.0","440.0","510.0","","380.0","","","","","","","","","","","","","","","","","","","400.0","","","560.0","530.0","",""
"","","Sentence Count","","","23.0","","","","8.0","21.0","23.0","","13.0","","","","","","","","","","","","","","","","","","","21.0","","","20.0","21.0","",""
"","","Who is it written by?","","","","","","","4.0","3.0","2.0","","3.0","","","","","","","","","","","","","","","","","","","4.0","","","3.0","4.0","",""
"","","","","","","","","","-9.0","2.0","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","3.0","-9.0","",""
"","Title","IV(s) in title","","screening of immigrants","immigrant screening","","","","test","Extra immigration checks ","TB screening ","","Tests on immigrants ","","","","","","","","","","","","","","","","","","","TB screening ","","","
TESTS ON IMMIGRANTS 
","UK immigrant screening ","",""
"","","DV(s) in title","","latentTuberculosis","latent TB","","","","TB surge","TB","latent cases","","TB","","","","","","","","","","","","","","","","","","","cases","","","TB","latent TB","",""
"","","Who is it About?","","1.0","1.0","","","","1.0","1.0","2.0","","1.0","","","","","","","","","","","","","","","","","","","2.0","","","1.0","1.0","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","0.0","0.0","0.0","","2.0","","","","","","","","","","","","","","","","","","","0.0","","","2.0","0.0","",""
"","","Statement of Cause","","0.0","6.0","","","","4.0","0.0","1.0","","1.0","","","","","","","","","","","","","","","","","","","0.0","","","6.0","1.0","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","immigrant screening","Better TB screenin with new blood tests","","","","Test","screening programme ","tuberculosis screening policy ","","Screening procedures ","","","","","","","","","","","","","","","","","","","TB screening ","","","Screening procedures ","UK immigrant screening ","",""
"","","IV Code","","10.0","10.0","","","","20.0","20.0","20.0","","20.0","","","","","","","","","","","","","","","","","","","20.0","","","20.0","20.0","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","1.0","1.0","1.0","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","1.0","1.0","",""
"","","Number of Sentences the IV is mentioned on","","","13.0","","","","3.0","11.0","14.0","","9.0","","","","","","","","","","","","","","","","","","","12.0","","","11.0","7.0","",""
"","","Words to First Mention","","","0.0","","","","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","0.0","0.0","",""
"","","What terms were included in the count?","","","as above, immigrant screening, tuberculosis incidence in their country of origin (in reference to new screening strategy), lower the threshold so that people from more countries are screened, The current UK policy, ","","","","test, simple blood test,chest X-rays ","Extra immigration checks 
screening programme 
current screening system 
a chest X-ray 
X-rays 
extra checks for 
Using a new blood test
existing screenings.
screening
threshold for screening
the screening 
","TB screening 
tuberculosis screening policy 
UK screening 
current screening policy, 
policy, 
groups to screen 
changing the threshold, 
screening programme,"" 
","","national screening policy
blood tests to screen for 
immigrant screening.""
wider screening 
chest X-ray 
blood testing would 
new blood checks 
Screening procedures 
Tests on 
","","","","","","","","","","","","","","","","","","","TB screening , chest X-ray 
Current screening for TB 
new blood tests 
Blood tests 
this screening 
new blood tests 
this wider screening 
immigrant screening
TB screening 
TB screening. 
screening
","","","TESTS ON IMMIGRANTS 
Screening procedures 
new blood 
checks 
new methods of blood testing would 
Current UK policy 
wider screening ,  strategy to expand immigrant screening.''
national screening policy, 
new blood tests to screen 
new approach to screening 
","screening, 
screened.
chest X-ray 
tuberculosis screening 
UK immigrant screening 
","",""
"","","is there ambiguity?","","0.0","0.0","","","","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","0.0","0.0","",""
"","","if yes describe","","-9.0","-9.0","","","","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","-9.0","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","0.0","0.0","",""
"","","Note differences here","","","-9.0","","","","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","-9.0","",""
"","","Actual IV for this","immigrant screening with IGRA at diff erent incidence
thresholds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","0.0","0.0","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","-9.0","",""
""," ","Words to First Mention","","","-9.0","","","","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","-9.0","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","-9.0","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","","","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","-9.0","",""
"","","Words to First Mention","","","-9.0","","","","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","-9.0","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","","","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","-9.0","",""
"","","Words to First Mention","","","-9.0","","","","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","-9.0","",""
"","Main Conclusion DV","Main DV of Conclusions ","","latent tuberculosis","Latent TB","","","","latent TB","latent TB infections ","latent tuberculosi","","latent TB ","","","","","","","","","","","","","","","","","","","Latent infections ","","","latent TB ","latent TB","",""
"","","Code of Main DV","","17.0","17.0","","","","15.0","15.0","15.0","","15.0","","","","","","","","","","","","","","","","","","","15.0","","","15.0","15.0","",""
"","","Is this DV in the first 2 sentences?","","","1.0","","","","1.0","1.0","1.0","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","1.0","1.0","",""
"","","Number of Sentences the DV is mentioned on","","","10.0","","","","8.0","14.0","12.0","","11.0","","","","","","","","","","","","","","","","","","","12.0","","","17.0","16.0","",""
"","","Words to First Mention","","","0.0","","","","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","0.0","0.0","",""
"","","What terms were included in the count?","","","as above, TB","","","","carrying tuberculosis 
tuberculosis 
TB
latent TB, the problem 
","TB
that early stage
latent tuberculosis
Latent infections 
 TB 
Tuberculosis, 
carrying the disease.
latent TB infection.
symptomless carriers 
latent TB infections 
tuberculosis 
as TB, the disease 
","latent cases
of the disease
TB
TB cases
latent TB 
","","TB
cases, 
latent TB could 
","","","","","","","","","","","","","","","","","","","cases
of cases, 
Tuberculosis 
It h
of TB 
infection lies dormant 
carrying TB infection 
 TB 
Latent infections 
of tuberculosis (TB) 
latent TB 
Untreated TB 
","","","Screening procedures ","latent TB: 
latent disease 
rates of disease
a TB 
latent tuberculosis, 
","",""
"","","is there ambiguity?","","0.0","2.0","","","","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","0.0","0.0","",""
"","","if yes describe","","-9.0","Mentions of this DV cross over with 'active TB'","","","","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","-9.0","",""
"","","Is the same DV being coded here as the abstract?","","","0.0","","","","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","0.0","0.0","",""
"","","Note differences here","","","-9.0","","","","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","-9.0","-9.0","",""
"","","Actual DV for this","positive IGRA and normal chest radiography in
the absence of any clinical features that would suggest
active disease","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","17.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","0.0","0.0","",""
