"Press Release Title","African trial questions emergency treatment of children in shock","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Mortality after Fluid Bolus in African Children with Severe Infection","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","3.0","health","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","1.0","emergency treatments","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","8.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","07-11-020","Available for Coding?","1.0","1.0","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Date Published","","39262.0","39227.0","","","","","","39228.0","","","","","","","","","","","","","","","","","","","","","39228.0","","","","","",""
"","","Word Count - Title","","10.0","9.0","","","","","","26.0","","","","","","","","","","","","","","","","","","","","","7.0","","","","","",""
"","","Word Count - Body","4000.0","390.0","990.0","","","","","","670.0","","","","","","","","","","","","","","","","","","","","","430.0","","","","","",""
"","","Sentence Count","","","38.0","","","","","","31.0","","","","","","","","","","","","","","","","","","","","","19.0","","","","","",""
"","","Who is it written by?","","","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","4.0","","","","","",""
"","","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Title","IV(s) in title","","fluid bolus","emergency treatment","","","","","","common treatment for shock ","","","","","","","","","","","","","","","","","","","","","shock treatment","","","","","",""
"","","DV(s) in title","","mortality","0.0","","","","","","excess deaths","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Who is it About?","","1.0","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Statement of Cause","","0.0","0.0","","","","","","6.0","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Fluid boluses","fluid resuscitation","","","","","","boluses","","","","","","","","","","","","","","","","","","","","","fluid boluses","","","","","",""
"","","IV Code","","10.0","10.0","","","","","","10.0","","","","","","","","","","","","","","","","","","","","","10.0","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","21.0","","","","","","13.0","","","","","","","","","","","","","","","","","","","","","12.0","","","","","",""
"","","Words to First Mention","","","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","What terms were included in the count?","","","emergency tratment, fluid resuscitation, boluses, bolus","","","","","","bolus, boluses, treatment, large amounts of fluid very rapidly, fast rehydration, fluid expansion, fruid resuscitation","","","","","","","","","","","","","","","","","","","","","shock treatment, treatment, bolus, boluses, fluid bolus, fluid expansion, injecting a large volume of fluid rapidly","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","if yes describe","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Note differences here","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Actual IV for this","resuscitation with bolus
fluids","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
""," ","Words to First Mention","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Main Conclusion DV","Main DV of Conclusions ","","48-hour mortality","survival rate","","","","","","survival rates","","","","","","","","","","","","","","","","","","","","","death","","","","","",""
"","","Code of Main DV","","21.0","21.0","","","","","","21.0","","","","","","","","","","","","","","","","","","","","","21.0","","","","","",""
"","","Is this DV in the first 2 sentences?","","","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Number of Sentences the DV is mentioned on","","","12.0","","","","","","9.0","","","","","","","","","","","","","","","","","","","","","4.0","","","","","",""
