"Press Release Title","Statins reduce deaths from infection and respiratory illness, eight years on from trial","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","The Anglo-Scandinavian Cardiac Outcomes Trial: 11-year mortality follow-up of the lipid-lowering arm in the UK","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","3.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","4.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","07-11-029","Available for Coding?","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","39321.0","39323.0","39322.0","39322.0","39322.0","39322.0","39322.0","","39322.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","15.0","13.0","4.0","6.0","5.0","7.0","10.0","","37.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","3000.0","260.0","500.0","170.0","150.0","200.0","510.0","280.0","","640.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","21.0","9.0","10.0","11.0","22.0","14.0","","33.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","4.0","4.0","3.0","3.0","3.0","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","-9.0","-9.0","2.0","2.0","3.0","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","Lipid lowering arm","Statins","Cholesterol busters","Statins","Heart tablets","Drug","Statins","","Statins","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","11-year mortality follow up","Deaths from infection and respiratory illness","Pneumonia","Killer diseases","-9.0","Lives","Pneumonia and other infections","","Death from infections","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it About?","","1.0","2.0","-9.0","-9.0","-9.0","-9.0","-9.0","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","1.0","1.0","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Statement of Cause","","0.0","6.0","6.0","6.0","0.0","6.0","5.0","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Atorvastatin","Statins","Statin","Statins","Statins","Statin","Statins","","Statins","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","","9.0","9.0","9.0","9.0","9.0","9.0","9.0","","9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","1.0","1.0","1.0","1.0","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","11.0","7.0","4.0","6.0","16.0","11.0","","22.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","Statins, statin, drugs","Cholesterol busters, statins, drugs, atorvastin","Statins, cholesterol pills","Heart tablets, pills, statins, drugs","Statins, heart pills, wonder drugs, atorvastin","Statins, drugs, ","","Statins, medication, drugs, atorvastatin","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is there ambiguity?","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","if yes describe","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Actual IV for this","Atorvastation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
