"Press Release Title","‘Gene overdose’ causes extreme thinness","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Mirror extreme BMI phenotypes associated with gene dosage at the chromosome 16p11.2 locus","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","07-11-030","Available for Coding?","1.0","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Date Published","","39360.0","39325.0","39325.0","39325.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39325.0"
"","","Word Count - Title","","13.0","5.0","17.0","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0"
"","","Word Count - Body","4000.0","300.0","500.0","690.0","86.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.0"
"","","Sentence Count","","","25.0","33.0","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0"
"","","Who is it written by?","","","","4.0","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0"
"","","","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Title","IV(s) in title","","Mirror extreme BMI phenotypes","Gene overdose","Overdose on chromosomes, Genes","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Genes"
"","","DV(s) in title","","Gene dosage at the chromosome 1611.2 locus","Extreme thinness","Skinny, thin","Skinny, being thin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Being skinny"
"","","Who is it About?","","-9.0","-9.0","1.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Are there quotes in the title?","","0.0","1.0","1.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Statement of Cause","","2.0","6.0","6.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Transcript levels for gene mapping within the duplication","Duplication or deletion of genes","Duplication or deletion of genes","Gene duplication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Gene duplication"
"","","IV Code","","19.0","19.0","19.0","19.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.0"
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Sentences the IV is mentioned on","","","13.0","16.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0"
"","","Words to First Mention","","","0.0","0.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","Gene overdose, extra copies of certain genes, chromosome 16 is duplicated, a copy of each chromosome, duplicated or deleted, duplication  of a part of chromosome 16, duuplication, deletions, missing a copy of these genes, ","Overdose on chromosomes, second helping of a newly discvered skinny gene, without these genes, genes are duplicated, duplicated genes, two copies of each gene, duplicated or deleted, deletion and a duplication, two copies, extra copies, ","Extra copies of certain genes, missing identical genes, gene duplication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Genes, extra copies of certain genes, gene duplication"
"","","is there ambiguity?","","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual IV for this","Duplication / deletions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","19.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
""," ","Words to First Mention","","","-9.0","-9.0","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Main Conclusion DV","Main DV of Conclusions ","","The phenotypes (underweight / obesity)","Weight","Weight","Underweight / obesity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Overweight / Skinny"
"","","Code of Main DV","","25.0","25.0","25.0","25.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.0"
"","","Is this DV in the first 2 sentences?","","","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Sentences the DV is mentioned on","","","8.0","11.0","5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0"
"","","Words to First Mention","","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","Extreme thinness, very skinny, underweight, morbidly obese, obesity, extreme thinness","Skinny, weight, obesity, obese, fattness, thinness, underweight, ","Sinny, obesityy, underweight, thinness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Skinny, overweight, underweight, thinness"
"","","is there ambiguity?","","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same DV being coded here as the abstract?","","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual DV for this","BMI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","25.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is the DV quantified ","","1.0","1.0","1.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Base Rate Mentioned","","0.0","0.0","1.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Second IV","Second IV of Conclusions (or quasi IV)","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","How does this IV relate to the research article","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","IV Code","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of Sentences the IV is mentioned on","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is there ambiguity?","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","if yes describe","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Note differences here","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual IV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Second DV","Second DV of Conclusions","","Failure to thrive","Failure to thrive","Failure to thrive","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","How does this DV relate to the research article","","2.0","2.0","2.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Code of DV","","20.0","20.0","20.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of Sentences the DV is mentioned on","","","2.0","2.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","151.0","271.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","","Failure to thrive","Failure to thrive","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is there ambiguity?","","","0.0","0.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","if yes describe","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same DV being coded here as the abstract?","","","0.0","0.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Note differences here","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual DV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of sentences actual DV is mentioned in","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","is the DV quantified ","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Base Rate Mentioned","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Sample","Who are the Main Conclusions About?","","People (individuals)","People","People","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","People"
"","","Sample Code","","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Note here in case above is 8","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Number of Sentences the sample is mentioned in","","","8.0","10.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Words to First Mention","","","26.0","0.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0"
"","","What terms were included in the count?","","","People, person, children, child","People, person , children, child","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","People"
"","","Is the sample code the same as the main conclusions of the abstract?","","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual Sample for this","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sample Code","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note here in case above is 8","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
