"Press Release Title","Scientists ‘disarm’ HIV in step towards vaccine","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Over-activation of plasmacytoid dendritic cell inhibits anti-viral T-cell responses: a model for HIV immunopathogenesis","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","8.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","5.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","3.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","07-11-033","Available for Coding?","1.0","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Date Published","","39343.0","39344.0","39344.0","39345.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39343.0","",""
"","","Word Count - Title","","14.0","7.0","10.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.0","",""
"","","Word Count - Body","5000.0","150.0","550.0","620.0","100.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","630.0","",""
"","","Sentence Count","","","30.0","30.0","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.0","",""
"","","Who is it written by?","","","","3.0","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","",""
"","","","","","","2.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","Title","IV(s) in title","","Over-activation of plasmacytoid dendritic cell","HIV","cholesterol","AIDS vaccine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","way","",""
"","","DV(s) in title","","anti-viral T-cell responses","0.0","immune system damage","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","aids","",""
"","","Who is it About?","","-9.0","2.0","2.0","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","",""
"","","Are there quotes in the title?","","0.0","2.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Statement of Cause","","6.0","0.0","6.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","depletion of  envelope-associated cholesterol","cholesterol in HIV","cholesterol in virus membrane","cholesterol in the virus membrane","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cholesterol in virus membrane","",""
"","","IV Code","","17.0","17.0","17.0","17.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0","",""
"","","Is this IV in the first 2 sentences?","","","0.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Number of Sentences the IV is mentioned on","","","9.0","8.0","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.0","",""
"","","Words to First Mention","","","78.0","0.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","What terms were included in the count?","","","cholesterol, virus with a large hole in its envelope, permeabilised virus, inactivated virus","cholesterol, a way, this way, breakthrough","a way, cholesterol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cholesterol, a way, this way, breakthrough","",""
"","","is there ambiguity?","","0.0","1.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","if yes describe","","-9.0","not clear what the IV was from the first two sentences","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Note differences here","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Actual IV for this","Envelope cholesterol withdrawal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","17.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
""," ","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","Main Conclusion DV","Main DV of Conclusions ","","activation of pDCs","activation of plasmacytoid dendritic cells","immune system damage","immune system damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","immune system damage","",""
"","","Code of Main DV","","17.0","17.0","17.0","17.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0","",""
"","","Is this DV in the first 2 sentences?","","","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Number of Sentences the DV is mentioned on","","","11.0","11.0","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0","",""
"","","Words to First Mention","","","1.0","0.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","What terms were included in the count?","","","damaging the immune system, innate immune response, innate immune system, adaptive response, pDCs","immune system, immune response, adaptive response, pDCs","immune system","","","","","","","","","","","","","","","","","","","","","","","","","","","","","immune system, immune response, adaptive response, pDCs","",""
"","","is there ambiguity?","","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","if yes describe","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Is the same DV being coded here as the abstract?","","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Note differences here","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Actual DV for this","flow cytomery in pDC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","17.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","is the DV quantified ","","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Base Rate Mentioned","","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Words to First Mention","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","Second IV","Second IV of Conclusions (or quasi IV)","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","How does this IV relate to the research article","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","IV Code","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
