"Press Release Title","Children's genes influence response to education","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Added Value Measures in Education Show Genetic as Well as Environmental Influence","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","1.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","5.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","6.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","08-11-003","Available for Coding?","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Date Published","","39114.0","39115.0","","","","","","","","","","","","","","","","","","","","","","","","","","","39115.0","","","","","",""
"","","Word Count - Title","","12.0","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","7.0","","","","","",""
"","","Word Count - Body","7000.0","120.0","550.0","","","","","","","","","","","","","","","","","","","","","","","","","","","510.0","","","","","",""
"","","Sentence Count","","","18.0","","","","","","","","","","","","","","","","","","","","","","","","","","","21.0","","","","","",""
"","","Who is it written by?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","","","","","",""
"","Title","IV(s) in title","","added value measures","childrens genes","","","","","","","","","","","","","","","","","","","","","","","","","","","Genes ","","","","","",""
"","","DV(s) in title","","genetics/environment","response to education","","","","","","","","","","","","","","","","","","","","","","","","","","","classroom performance","","","","","",""
"","","Who is it About?","","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Statement of Cause","","6.0","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","genetic influence","children's genes","","","","","","","","","","","","","","","","","","","","","","","","","","","Genes ","","","","","",""
"","","IV Code","","19.0","19.0","","","","","","","","","","","","","","","","","","","","","","","","","","","19.0","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0","","","","","",""
