"Press Release Title","Genes that control 'ageing' steroid identified","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Eight Common Genetic Variants Associated with Serum DHEAS Levels Suggest a Key Role in Ageing Mechanisms","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","Health","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","6.0","Genetics","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","6.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","08-11-008","Available for Coding?","1.0","1.0","1.0","","1.0","","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","39185.0","39186.0","","39186.0","","39186.0","","","39186.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","16.0","6.0","","2.0","","9.0","","","8.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","5000.0","170.0","370.0","","90.0","","550.0","","","80.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","15.0","","8.0","","30.0","","","5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","","4.0","","3.0","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","-9.0","","2.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","Eight Common Genetic Variants","genes","","-9.0","","genes","","","genes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","Serum DHEAS Levels and Ageing Mechanisms","ageing steroid","","wrinkles","","longer life","","","speed of ageing and Longevity","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it About?","","-9.0","-9.0","","-9.0","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","0.0","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Statement of Cause","","6.0","6.0","","0.0","","0.0","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","related genes","8 genetic regions/genes","","genes","","Genes","","","8 genetic variations","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","","19.0","19.0","","19.0","","19.0","","","19.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","1.0","","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","7.0","","2.0","","10.0","","","5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","0.0","","1.0","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","as above, genes, genetic varients","","as above","","as above, genetic varients","","","as above, genes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","0.0","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","if yes describe","","-9.0","-9.0","","-9.0","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","","0.0","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","-9.0","","-9.0","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Actual IV for this","SNP's","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","19.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","0.0","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","-9.0","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
""," ","Words to First Mention","","","-9.0","","-9.0","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","-9.0","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","-9.0","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","-9.0","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
