"Press Release Title","Master switch' gene for obesity and diabetes","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Identification of an imprinted master trans regulator at the KLF14 locus related to multiple metabolic phenotypes","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","-9.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","6.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","08-11-017","Available for Coding?","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Date Published","","39216.0","39217.0","39217.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39217.0","",""
"","","Word Count - Title","","16.0","7.0","12.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.0","",""
"","","Word Count - Body","3000.0","150.0","530.0","290.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400.0","",""
"","","Sentence Count","","","19.0","18.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.0","",""
"","","Who is it written by?","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","",""
"","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","Title","IV(s) in title","","master trans regulator at the KLF14 locus","master switch gene","gene","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","master switch gene","",""
"","","DV(s) in title","","multiple metabolic phenotypes","obesity and diabetes","obesity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","obesity","",""
"","","Who is it About?","","-9.0","2.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","",""
"","","Are there quotes in the title?","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Statement of Cause","","2.0","0.0","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","KLF14 locus","KLF14 gene ","KLF14 Gene","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KLF14 gene","",""
"","","IV Code","","19.0","19.0","19.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.0","",""
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Number of Sentences the IV is mentioned on","","","11.0","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.0","",""
"","","Words to First Mention","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","What terms were included in the count?","","","as above, master switch gene","as above, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","as above, the regulating gene","",""
"","","is there ambiguity?","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","if yes describe","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Note differences here","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Actual IV for this","KLF14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","19.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
""," ","Words to First Mention","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","Main Conclusion DV","Main DV of Conclusions ","","adipose gene epression","expression levels of multiple distant genes found in fat tissue","obesity-related diseases ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","diabetes and cholesterol ","",""
"","","Code of Main DV","","19.0","19.0","22.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0","",""
"","","Is this DV in the first 2 sentences?","","","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Number of Sentences the DV is mentioned on","","","7.0","11.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0","",""
"","","Words to First Mention","","","1.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","What terms were included in the count?","","","as above, controlling other genes located further away on the genome, the other genes, ","as above, type 2 diabetes and cholesterol levels, metabolic diseases , obese, overweight","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","as above, metabolic traits, these conditions, ","",""
