"Press Release Title","Landmark birthplace study","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Perinatal and maternal outcomes by planned place of birth for healthy women with low risk pregnancies: the Birthplace in England national prospective cohort study","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","1.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","2.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","08-11-026","Available for Coding?","1.0","1.0","1.0","1.0","1.0","1.0","","1.0","1.0","1.0","1.0","","1.0","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Date Published","","39410.0","39410.0","39410.0","39410.0","39410.0","","39410.0","39410.0","39410.0","39410.0","","39410.0","","","","","","","","","","","","","","","","","","","","","","","39410.0"
"","","Word Count - Title","","24.0","3.0","13.0","7.0","4.0","","10.0","11.0","36.0","9.0","","10.0","","","","","","","","","","","","","","","","","","","","","","","8.0"
"","","Word Count - Body","4000.0","370.0","430.0","670.0","290.0","130.0","","780.0","520.0","880.0","279.0","","590.0","","","","","","","","","","","","","","","","","","","","","","","180.0"
"","","Sentence Count","","","19.0","24.0","15.0","6.0","","40.0","20.0","30.0","12.0","","24.0","","","","","","","","","","","","","","","","","","","","","","","10.0"
"","","Who is it written by?","","","","2.0","3.0","3.0","","3.0","3.0","2.0","2.0","","3.0","","","","","","","","","","","","","","","","","","","","","","","3.0"
"","","","","","","-9.0","1.0","2.0","","2.0","2.0","-9.0","-9.0","","2.0","","","","","","","","","","","","","","","","","","","","","","","3.0"
"","Title","IV(s) in title","","Planned place of birth","Birthplace","First time mothers, home  birth","Home birth, new mums","Homebirth","","Home births, hospital, first time mothers","Home births, second baby","First time mothers, home birth","Home birth, second babies","","First time mothers, home birth, ","","","","","","","","","","","","","","","","","","","","","","","Home births"
"","","DV(s) in title","","Perinatal and maternal outcomes","-9.0","Problems","Risk","Danger","","Risky","Safe","Complications","Safe","","Risk","","","","","","","","","","","","","","","","","","","","","","","Risky"
"","","Who is it About?","","1.0","-9.0","1.0","1.0","2.0","","1.0","1.0","1.0","1.0","","1.0","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Are there quotes in the title?","","0.0","0.0","0.0","0.0","0.0","","1.0","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Statement of Cause","","0.0","-9.0","2.0","2.0","0.0","","2.0","1.0","2.0","1.0","","2.0","","","","","","","","","","","","","","","","","","","","","","","2.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Planned place of birth","Birthplace/ setting","First-time mothers / subsequent babies","Birth location","Birth location","","Where women tried to give birth","Birth setting","First time moter / second or third baby","Birthplace","","First time mothers or subsequent babies","","","","","","","","","","","","","","","","","","","","","","","Birthplace"
"","","IV Code","","20.0","20.0","1.0","20.0","20.0","","20.0","20.0","1.0","20.0","","1.0","","","","","","","","","","","","","","","","","","","","","","","20.0"
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","1.0","1.0","","1.0","1.0","1.0","1.0","","1.0","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Sentences the IV is mentioned on","","","13.0","8.0","11.0","5.0","","16.0","15.0","13.0","10.0","","5.0","","","","","","","","","","","","","","","","","","","","","","","6.0"
"","","Words to First Mention","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","Birthplace, hospital, birth setting, home births, where women with low risk pregnancies plan to give birth, planned places of birth, babies at home, planned ome births, in a midwifery unit, where they want to give birth","First-time mothers, women to have their first child, second or subsequent babies","Home birth, hospital, home, midwifery unit","Home birth, birth location, hospital, home","","Home birth, birth at home, hospital, midwife-led units, home, ","Home birth, where they want to give birth, giving birth at home, home, hospital, give birth at home, ","First time mother, first babies, second or third babies, first time mum, subsequent babies","Home birth, home births, hospital, unit led by a midwife, home, ","","First time mothers, giving birth for the first time, first time motherm second or subsequent babies","","","","","","","","","","","","","","","","","","","","","","","Home births, ome, hospital,  midwife-led care"
"","","is there ambiguity?","","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","1.0","0.0","0.0","","0.0","0.0","1.0","0.0","","1.0","","","","","","","","","","","","","","","","","","","","","","","0.0"
