"Press Release Title","Self-harm study","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","The natural history of self-harm from adolescence to young adulthood: a population-based cohort study","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","7.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","1.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","5.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","08-11-028","Available for Coding?","1.0","1.0","1.0","","","","","","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Date Published","","39402.0","39402.0","","","","","","39402.0","39402.0","39402.0","","","","","","","","","","","","","","","","","","","39402.0","","","","39402.0","",""
"","","Word Count - Title","","14.0","2.0","","","","","","26.0","33.0","5.0","","","","","","","","","","","","","","","","","","","7.0","","","","8.0","",""
"","","Word Count - Body","5000.0","340.0","540.0","","","","","","750.0","410.0","60.0","","","","","","","","","","","","","","","","","","","560.0","","","","600.0","",""
"","","Sentence Count","","","23.0","","","","","","35.0","16.0","4.0","","","","","","","","","","","","","","","","","","","27.0","","","","22.0","",""
"","","Who is it written by?","","","","","","","","","2.0","1.0","3.0","","","","","","","","","","","","","","","","","","","3.0","","","","3.0","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","adolescence to young adulthood","0.0","","","","","","age, women","age (adolescents, twenties)","teens","","","","","","","","","","","","","","","","","","","teenagers","","","","teenagers","",""
"","","DV(s) in title","","self-harm","self-harm","","","","","","self-harm, alcohol and narcotics abuse","self-harm","self-harm","","","","","","","","","","","","","","","","","","","self-harm","","","","self-harm","",""
"","","Who is it About?","","1.0","2.0","","","","","","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","Statement of Cause","","0.0","0.0","","","","","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","middle adolescence to young adulthood","adolescence (14-15 years old) to young adulthood (28-29 years old)","","","","","","age of 14 to 29","age","age","","","","","","","","","","","","","","","","","","","age","","","","age","",""
"","","IV Code","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Number of Sentences the IV is mentioned on","","","19.0","","","","","","23.0","12.0","3.0","","","","","","","","","","","","","","","","","","","15.0","","","","14.0","",""
"","","Words to First Mention","","","1.0","","","","","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","What terms were included in the count?","","","adolescence, teenagers, young people, young adults, adolescents, 14-15 year olds, young adulthood","","","","","","aged, age, adulthood, teenagers, young people, adolescents, kids, mid-teens, puberty, childhood, children, schoolchildren, adolescence, ages","teenagers, twenties, young people, late teens, 14-year-olds, age, adolescent, childhoodm puberty, mid-20s, mid teens","teens, twenties, young adulthood","","","","","","","","","","","","","","","","","","","teenagers, teenage, adulthood, children, young adults, years, adolescence, twenties, lives, youngsters, young people, child","","","","teenagers, young people, adolescence, aged, age, adolescent, mid teens, young adulthood, adult years","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","if yes describe","","-9.0","-9.0","","","","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","Note differences here","","","-9.0","","","","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Actual IV for this","age","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
