"Press Release Title","Researchers probe genetic link to blindness","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Homozygous Mutations in PXDN Cause Congenital Cataract, Corneal Opacity, and Developmental Glaucoma","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","8.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","5.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","09-11-007","Available for Coding?","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","39333.0","39332.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","12.0","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","3000.0","160.0","470.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","Homozygous Mutations in PXDN","genetic link","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","Congenital Cataract, Corneal Opacity, and Developmental Glaucoma","blindness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it About?","","2.0","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
