"Press Release Title","Women more stressed by commuting than men","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","“It's driving her mad”: Gender differences in the effects of commuting on psychological health","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","11.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","20.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","11-11-005","Available for Coding?","1.0","1.0","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Date Published","","39290.0","39315.0","","","","39316.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","39315.0"
"","","Word Count - Title","","16.0","7.0","","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.0"
"","","Word Count - Body","10000.0","150.0","420.0","","","","150.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","180.0"
"","","Sentence Count","","","18.0","","","","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.0"
"","","Who is it written by?","","","","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0"
"","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Title","IV(s) in title","","Gender differences in the effects of commuting","commuting men and women","","","","women","","","","","","","","","","","","","","","","","","","","","","","","","","","","commuting for men and women"
"","","DV(s) in title","","the effects of commuting on psychological health","stress by commuting","","","","commute","","","","","","","","","","","","","","","","","","","","","","","","","","","","stressful"
"","","Who is it About?","","1.0","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Are there quotes in the title?","","2.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Statement of Cause","","2.0","2.0","","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","gender","gender","","","","gender","","","","","","","","","","","","","","","","","","","","","","","","","","","","gender"
"","","IV Code","","27.0","27.0","","","","27.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.0"
"","","Is this IV in the first 2 sentences?","","","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Sentences the IV is mentioned on","","","12.0","","","","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.0"
"","","Words to First Mention","","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","men, women, gender","","","","women, men","","","","","","","","","","","","","","","","","","","","","","","","","","","","men, women, mothers"
"","","is there ambiguity?","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual IV for this","gender","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","27.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
""," ","Words to First Mention","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Main Conclusion DV","Main DV of Conclusions ","","the psychological health ","stress","","","","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","mental health"
"","","Code of Main DV","","11.0","11.0","","","","11.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0"
"","","Is this DV in the first 2 sentences?","","","1.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Sentences the DV is mentioned on","","","12.0","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0"
"","","Words to First Mention","","","0.0","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","stressed, stress, negative effect, stressful, adverse effects, psychological impact, suffered psychologically, well-being, mental health, psychological health, psychological costs","","","","stress, sensitive, mental health, stressful","","","","","","","","","","","","","","","","","","","","","","","","","","","","stressful, mental health, mental problems, worry, psychological costs"
"","","is there ambiguity?","","0.0","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same DV being coded here as the abstract?","","","0.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual DV for this","psychological health (score on GHQ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","11.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","1.0","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
