"Press Release Title","
Evidence mounting on the harms of alcohol industry sponsorship of sport
","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Alcohol Industry and Non-Alcohol Industry Sponsorship of Sportspeople and Drinking","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","2.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","4.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","5.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","8.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","12-11-003","Available for Coding?","1.0","1.0","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","39111.0","39112.0","","","39112.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","10.0","11.0","","","8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","3000.0","160.0","530.0","","","130.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","21.0","","","8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","alcohol industry and non alcohol industry sponsorship of sportspeople","alcohol industry sponsorship of sport","","","alcohol ads in sport","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","drinking","-9.0","","","alcohol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it About?","","1.0","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Statement of Cause","","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
