"Press Release Title","Chance of dying early 20% higher in north than south of England","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Trends in mortality from 1965 to 2008 across the English north-south divide: comparative observational study","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","12-11-005","Available for Coding?","1.0","1.0","1.0","","","1.0","","","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Date Published","","39127.0","39128.0","","","39128.0","","","39127.0","39128.0","39128.0","","","","","","","","","","","","","","","","","","39128.0","","","","","",""
"","","Word Count - Title","","15.0","12.0","","","9.0","","","10.0","9.0","7.0","","","","","","","","","","","","","","","","","","8.0","","","","","",""
"","","Word Count - Body","5000.0","310.0","540.0","","","570.0","","","390.0","240.0","920.0","","","","","","","","","","","","","","","","","","640.0","","","","","",""
"","","Sentence Count","","","19.0","","","28.0","","","16.0","10.0","47.0","","","","","","","","","","","","","","","","","","32.0","","","","","",""
"","","Who is it written by?","","","","","","4.0","","","2.0","2.0","2.0","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","","","","","","","-9.0","","","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Title","IV(s) in title","","English north-south divide","north or south of England","","","North-South divide","","","northerners and southerners","North-south","north-south","","","","","","","","","","","","","","","","","","North-South","","","","","",""
"","","DV(s) in title","","mortality","chance of dying early","","","life expectancy","","","likely to die under 75","health divide","health divide","","","","","","","","","","","","","","","","","","health divide","","","","","",""
"","","Who is it About?","","2.0","2.0","","","2.0","","","1.0","2.0","2.0","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","0.0","","","0.0","1.0","1.0","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Statement of Cause","","2.0","2.0","","","2.0","","","3.0","0.0","0.0","","","","","","","","","","","","","","","","","","0.0","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","the north-south
divide","north-south health divide ","","","North-South health divide","","","North-south divide ","north-south divide ","divide between the North and South of the country","","","","","","","","","","","","","","","","","","North-South of England","","","","","",""
"","","IV Code","","20.0","20.0","","","20.0","","","20.0","20.0","20.0","","","","","","","","","","","","","","","","","","20.0","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","1.0","","","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","16.0","","","16.0","","","10.0","8.0","27.0","","","","","","","","","","","","","","","","","","13.0","","","","","",""
"","","Words to First Mention","","","0.0","","","0.0","","","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","0.0","","","","","",""
