"Press Release Title","New gene linked to familial motor neuron disease and common form of dementia","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","A Hexanucleotide Repeat Expansion in C9ORF72 Is the Cause of Chromosome 9p21-Linked ALS-FTD","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","7.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","8.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","12-11-023","Available for Coding?","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Date Published","","39345.0","39345.0","","","","","","","","","","","","","","","","","","","","","","","","","","","39345.0","","","","","",""
"","","Word Count - Title","","13.0","13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","9.0","","","","","",""
"","","Word Count - Body","5000.0","150.0","750.0","","","","","","","","","","","","","","","","","","","","","","","","","","","470.0","","","","","",""
"","","Sentence Count","","","26.0","","","","","","","","","","","","","","","","","","","","","","","","","","","23.0","","","","","",""
"","","Who is it written by?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Title","IV(s) in title","","Hexanucleotide Repeat Expansion in C9ORF72 ","Familial motor neuron, dementia","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","DV(s) in title","","Chromosome 9p21-Linked ALS-FTD","New gene","","","","","","","","","","","","","","","","","","","","","","","","","","","Motor neurone gene","","","","","",""
"","","Who is it About?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Statement of Cause","","6.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Hexanucleotide repeat expansion in the first intron of C9ORF72","Family history of motor neuron disease","","","","","","","","","","","","","","","","","","","","","","","","","","","Motor neuron disease","","","","","",""
"","","IV Code","","19.0","12.0","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","11.0","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0","","","","","",""
"","","Words to First Mention","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","What terms were included in the count?","","","Familial motor neuron disease, motor neuron disease, MND","","","","","","","","","","","","","","","","","","","","","","","","","","","Motor neuron disease, the disease, MND, the condition","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","if yes describe","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","","","","","",""
"","","Note differences here","","","Family history of motor neuron disease is concordant with the samples used… the PR is misleading here","","","","","","","","","","","","","","","","","","","","","","","","","","","Motor neuron disease is concordant with the samples used… the PR is misleading ","","","","","",""
"","","Actual IV for this","Hexanucleotide repeat expansion within the C9ORF72 gene","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","19.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
""," ","Words to First Mention","","","185.0","","","","","","","","","","","","","","","","","","","","","","","","","","","130.0","","","","","",""
