"Press Release Title","Yoga aids chronic back pain sufferers","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Yoga for Chronic Low Back Pain: A Randomized Trial ","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","3.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","2.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","12-11-026","Available for Coding?","1.0","1.0","1.0","1.0","","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Date Published","","39386.0","39386.0","39386.0","","39386.0","39386.0","39386.0","39386.0","","","","","","","","","","","","","","","","","","","","","","","","","39385.0","",""
"","","Word Count - Title","","9.0","6.0","13.0","","11.0","6.0","16.0","7.0","","","","","","","","","","","","","","","","","","","","","","","","","9.0","",""
"","","Word Count - Body","4000.0","360.0","1170.0","450.0","","200.0","120.0","420.0","230.0","","","","","","","","","","","","","","","","","","","","","","","","","660.0","",""
"","","Sentence Count","","","48.0","20.0","","12.0","7.0","18.0","12.0","","","","","","","","","","","","","","","","","","","","","","","","","26.0","",""
"","","Who is it written by?","","","","2.0","","3.0","4.0","3.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","","3.0","",""
"","","","","","","-9.0","","2.0","-9.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","2.0","",""
"","Title","IV(s) in title","","Yoga","Yoga","Yoga, going to the doctor","","Yoga, exercises, NHS cures","Yoga","Yoga, trip to the doctor","Yoga","","","","","","","","","","","","","","","","","","","","","","","","","Yoga","",""
"","","DV(s) in title","","Chronic low back pain","Chronic back pain","Treating back pain","","-9.0","Cure back pain","-9.0","Treatment for bad back","","","","","","","","","","","","","","","","","","","","","","","","","Benefit","",""
"","","Who is it About?","","1.0","1.0","1.0","","2.0","2.0","2.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","2.0","",""
"","","Are there quotes in the title?","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Statement of Cause","","0.0","6.0","2.0","","6.0","6.0","0.0","6.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Yoga vs usual care","Yoga vs GP care alone","Yoga vs GP","","Yoga vs NHS treatments","Yoga","Yoga vs conventional medical treatment","Yoga vs conventional treatment","","","","","","","","","","","","","","","","","","","","","","","","","Yoga vs back pain info booklet","",""
"","","IV Code","","10.0","10.0","10.0","","10.0","10.0","10.0","10.0","","","","","","","","","","","","","","","","","","","","","","","","","10.0","",""
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Number of Sentences the IV is mentioned on","","","19.0","12.0","","5.0","4.0","11.0","7.0","","","","","","","","","","","","","","","","","","","","","","","","","14.0","",""
"","","Words to First Mention","","","0.0","0.0","","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","What terms were included in the count?","","","Yoga","Yoga, GP","","Yoga","Yoga","Yoga","Yoga, conventional treatment","","","","","","","","","","","","","","","","","","","","","","","","","Yoga","",""
"","","is there ambiguity?","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","if yes describe","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Note differences here","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Actual IV for this","Yoga vs usual care","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
""," ","Words to First Mention","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","Main Conclusion DV","Main DV of Conclusions ","","Back function (improvement)","Back function","Effects of yoga (ability to do daily activities)","","Back function","Pain relief","Lower back pain","Function","","","","","","","","","","","","","","","","","","","","","","","","","Benefits of yoga","",""
"","","Code of Main DV","","16.0","16.0","16.0","","16.0","16.0","16.0","16.0","","","","","","","","","","","","","","","","","","","","","","","","","16.0","",""
"","","Is this DV in the first 2 sentences?","","","1.0","1.0","","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Number of Sentences the DV is mentioned on","","","8.0","7.0","","4.0","3.0","6.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","","6.0","",""
"","","Words to First Mention","","","1.0","0.0","","14.0","1.0","0.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","What terms were included in the count?","","","Back function, benefits of yoga, benefits, ","Treating a bad back, daily chores, effects, more daily activities, household chores, benefits","","Relief, back function, activities, benefits","Pain relief, relieving chronic back pain, improvement","Pain in the back, back pain, discomfort","Mobile, function, beneficial","","","","","","","","","","","","","","","","","","","","","","","","","Benefits, how well participants could perform daily activities, trouble  they had with daily tasks, these scores, back function","",""
"","","is there ambiguity?","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","if yes describe","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Is the same DV being coded here as the abstract?","","","0.0","0.0","","0.0","1.0","1.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Note differences here","","","-9.0","-9.0","","-9.0","This is the secon DV in the JA","This is concordant with the second DV","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Actual DV for this","Back function","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","16.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","","0.0","-9.0","-9.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","is the DV quantified ","","1.0","0.0","1.0","","1.0","-9.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Base Rate Mentioned","","0.0","0.0","0.0","","0.0","-9.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","Second IV","Second IV of Conclusions (or quasi IV)","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","How does this IV relate to the research article","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","IV Code","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Number of Sentences the IV is mentioned on","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","What terms were included in the count?","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","is there ambiguity?","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","if yes describe","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Is the same IV being coded here as the abstract?","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Note differences here","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Actual IV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","Second DV","Second DV of Conclusions","","-9.0","Pain","Patient's pain","","-9.0","-9.0","Physical performance","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","Pain","",""
"","","How does this DV relate to the research article","","-9.0","2.0","2.0","","-9.0","-9.0","1.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","2.0","",""
"","","Code of DV","","-9.0","22.0","22.0","","-9.0","-9.0","24.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","22.0","",""
