"Press Release Title","Talking therapy over the phone improves symptoms of chronic widespread pain","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Cognitive behavior therapy, exercise, or both for treating chronic widespread pain","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","3.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","7.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","12-11-028","Available for Coding?","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Date Published","","39399.0","39400.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39399.0","",""
"","","Word Count - Title","","11.0","11.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.0","",""
"","","Word Count - Body","3000.0","280.0","760.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","530.0","",""
"","","Sentence Count","","","32.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0","",""
"","","Who is it written by?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","Title","IV(s) in title","","Cognitive behavior therapy, exercise or both","Talking therapy over the phone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Phone therapy and exercise","",""
"","","DV(s) in title","","Chronic widespread pain","Symptoms of chronic widespread pain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chronic pain","",""
"","","Who is it About?","","2.0","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Statement of Cause","","0.0","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Type of therapy","Type of therapy [CBT, exercise, both, or standard GP care]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Type of therapy","",""
"","","IV Code","","10.0","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Number of Sentences the IV is mentioned on","","","15.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0","",""
"","","Words to First Mention","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","What terms were included in the count?","","","..talking therapy.. ..CBT.. ..exercise.. ..interventions.. ..a behavioural approach..","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","..phone therapy.. ..CBT.. ..exercise.. ..interventions..","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","if yes describe","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Note differences here","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Actual IV for this","Type of therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
""," ","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
