"Press Release Title","Protective properties of green tea uncovered","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","In vitro protective effects of colon-available extract of Camellia sinensis (tea)
against hydrogen peroxide and beta-amyloid (A (1–42)) induced cytotoxicity in
differentiated PC12 cells","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","2.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","7.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","13-11-002","Available for Coding?","1.0","1.0","1.0","","","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Date Published","","39072.0","39087.0","","","39087.0","","","39087.0","","","","","","","","","","","","","","","","","","","","39087.0","","","","","",""
"","","Word Count - Title","","24.0","6.0","","","6.0","","","9.0","","","","","","","","","","","","","","","","","","","","8.0","","","","","",""
"","","Word Count - Body","4000.0","240.0","630.0","","","230.0","","","550.0","","","","","","","","","","","","","","","","","","","","310.0","","","","","",""
"","","Sentence Count","","","22.0","","","11.0","","","21.0","","","","","","","","","","","","","","","","","","","","15.0","","","","","",""
"","","Who is it written by?","","","","","","3.0","","","4.0","","","","","","","","","","","","","","","","","","","","4.0","","","","","",""
"","","Journalist Code","","","","","","3.0","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Title","IV(s) in title","","Camellia sinensis (tea)","Green tea drinking","","","Green leaves","","","Green tea","","","","","","","","","","","","","","","","","","","","Green tea","","","","","",""
"","","DV(s) in title","","hydrogen peroxide and beta-amyloid induced cytotoxicity","Portective properties","","","Dementia","","","Dementia","","","","","","","","","","","","","","","","","","","","Dementia risk","","","","","",""
"","","Who is it About?","","6.0","-9.0","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Statement of Cause","","0.0","0.0","","","6.0","","","4.0","","","","","","","","","","","","","","","","","","","","4.0","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","green tea extract which had gone through simulated gastrointestinal digestion","Drinking green tea","","","green tea's properties once absorbed by the body","","","Green tea","","","","","","","","","","","","","","","","","","","","digested green tea compounds","","","","","",""
"","","IV Code","","4.0","4.0","","","4.0","","","4.0","","","","","","","","","","","","","","","","","","","","4.0","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","13.0","","","9.0","","","15.0","","","","","","","","","","","","","","","","","","","","10.0","","","","","",""
"","","Words to First Mention","","","0.0","","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
