"Press Release Title","Mothers’ obesity increases the risk of foetal and infant death","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Maternal body mass index and the risk of fetal and infant death: a cohort study from the North of England","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","2.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","1.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Techniques","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","COMPLETE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","6.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","13-11-009","Available for Coding?","1.0","1.0","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","39176.0","39177.0","","","","","","","39177.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","20.0","10.0","","","","","","","9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","5000.0","320.0","710.0","","","","","","","110.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","25.0","","","","","","","5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","","","","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Journalistic code","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","Maternal body mass index","Mother's obesity","","","","","","","obese mothers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","risk of fetal and infant death ","risk of foetal and infant death","","","","","","","death of baby","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it About?","","1.0","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Statement of Cause","","0.0","6.0","","","","","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
