"Press Release Title","Looking good on greens ","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Carotenoid and melanin pigment coloration affect perceived human health","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","2.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","-9.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","6.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","14-11-003","Available for Coding?","1.0","1.0","1.0","","","","","","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","39073.0","39092.0","","","","","","39120.0","","","39093.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","9.0","4.0","","","","","","8.0","","","2.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","7000.0","250.0","440.0","","","","","","940.0","","","60.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","18.0","","","","","","51.0","","","3.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","","","","","","4.0","","","4.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","Carotenoid and melanin pigment coloration","greens","","","","","","vegetables","","","veggie'","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","perceived human health","looking","","","","","","golden glow","","","tan","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it About?","","1.0","2.0","","","","","","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Statement of Cause","","6.0","0.0","","","","","","5.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","skin carotenoid coloration","eating a healthy diet rich in fruit and vegetables","","","","","","eating vegetables","","","eating fruit and veg","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","","4.0","4.0","","","","","","4.0","","","4.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","9.0","","","","","","15.0","","","4.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","0.0","","","","","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","as above, munch on carrots and tomatoes, Carotenoids are antioxidants ","","","","","","as above, carotenoid, fruit and vegetables, 5 a day, eating well, ","","","as above, carotenoids, veggie","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","if yes describe","","-9.0","-9.0","","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","-9.0","","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Actual IV for this","differences in intake of carotenoids from
diet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
""," ","Words to First Mention","","","-9.0","","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","Main Conclusion DV","Main DV of Conclusions ","","perceived health","healthy golden glow","","","","","","golden glow/skin colour","","","attractive glow","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Code of Main DV","","13.0","13.0","","","","","","13.0","","","13.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this DV in the first 2 sentences?","","","1.0","","","","","","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the DV is mentioned on","","","8.0","","","","","","17.0","","","3.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","0.0","","","","","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","as above, skin colour, skin yellowness, looking good, healthy tan","","","","","","as above, looking better, healthy, yellowness of skin, brown colour that we associate with a sun tan, attractive, skin tone, tanned","","","as above, tan, improve skin colour","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","if yes describe","","-9.0","-9.0","","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the same DV being coded here as the abstract?","","","0.0","","","","","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","-9.0","","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Actual DV for this","skin lightness (L*) and yellowness (b*) to enhance the apparent health of the faces
simultaneously to enhance the apparent health of the faces","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","1.0","","","","","","1.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is the DV quantified ","","0.0","0.0","","","","","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Base Rate Mentioned","","0.0","0.0","","","","","","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","Second IV","Second IV of Conclusions (or quasi IV)","","ethnicity","ethnicity","","","","","","ethnicity","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","How does this IV relate to the research article","","2.0","2.0","","","","","","2.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","","20.0","20.0","","","","","","20.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","1.0","","","","","","1.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","374.0","","","","","","308.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","caucasian/african","","","","","","caucasian","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is there ambiguity?","","","1.0","","","","","","1.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","if yes describe","","","only mentiojned once near the bottom of the paper","","","","","","only mentiojned once near the bottom of the paper","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","","","0.0","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","",""
