"Press Release Title","Morning after pill linked to increase in STIs, study shows","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","The impact of emergency birth control on teen pregnancy and STIs","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","4.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","2.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","8.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","14-11-006","Available for Coding?","1.0","1.0","1.0","1.0","","","","","","1.0","","","","","","","","","","1.0","","","","","","","","","","","","","","","",""
"","","Date Published","","39012.0","39112.0","39112.0","","","","","","39112.0","","","","","","","","","","39111.0","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","11.0","10.0","8.0","","","","","","6.0","","","","","","","","","","8.0","","","","","","","","","","","","","","","",""
"","","Word Count - Body","7000.0","100.0","700.0","670.0","","","","","","300.0","","","","","","","","","","420.0","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","23.0","34.0","","","","","","12.0","","","","","","","","","","19.0","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","3.0","","","","","","3.0","","","","","","","","","","3.0","","","","","","","","","","","","","","","",""
"","","What's the actual job title of the journalist?","","","","1.0","","","","","","3.0","","","","","","","","","","2.0","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","emergency birth control","morning after pill","morning afyer pill","","","","","","morning after pill","","","","","","","","","","pill handout","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","teen pregnancy and STIs","increase in STIs","underage pregnancies","","","","","","sexual diseases","","","","","","","","","","rise in teen sex disease","","","","","","","","","","","","","","","",""
"","","Who is it About?","","1.0","2.0","1.0","","","","","","2.0","","","","","","","","","","1.0","","","","","","","","","","","","","","","",""
