"Press Release Title","Research leads revolution in the treatment of Alzheimer's Disease ","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Common variants at ABCA7, MS4A6A/MS4A4E, EPHA1, CD33 and CD2AP are associated with Alzheimer's disease","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","COMPLETE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","6.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","14-11-012","Available for Coding?","1.0","1.0","1.0","1.0","","1.0","1.0","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Date Published","","39174.0","39175.0","39175.0","","39175.0","39175.0","39175.0","39175.0","39174.0","39175.0","","","","","","","","","","","","","","","","","","","39175.0","","","","39175.0","",""
"","","Word Count - Title","","14.0","9.0","10.0","","11.0","8.0","7.0","9.0","9.0","13.0","","","","","","","","","","","","","","","","","","","7.0","","","","7.0","",""
"","","Word Count - Body","4000.0","210.0","730.0","210.0","","230.0","310.0","100.0","230.0","590.0","410.0","","","","","","","","","","","","","","","","","","","440.0","","","","410.0","",""
"","","Sentence Count","","","38.0","10.0","","12.0","13.0","6.0","10.0","31.0","15.0","","","","","","","","","","","","","","","","","","","23.0","","","","18.0","",""
"","","Who is it written by?","","","","4.0","","3.0","3.0","3.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","2.0","","","","3.0","",""
"","","","","","","-9.0","","3.0","3.0","1.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","3.0","",""
"","Title","IV(s) in title","","Common variants at ABCA7, MS4A6A/MS4A4E, EPHA1, CD33 and CD2AP ","-9.0","5 genetic clues","","gene discovery","5 genes","genes","genes","genes","alzheimer's disease","","","","","","","","","","","","","","","","","","","genes","","","","genes","",""
"","","DV(s) in title","","alzheimer's treatment","Alzheimer's treatment","alzheimer's disease","","Alzheimer's","Alzheimer's","Alzheimer's treatment","Alzheimer's treatment","Alzheimer's disease ","-9.0","","","","","","","","","","","","","","","","","","","alzheimer's","","","","Alzheimer's Disease risk ","",""
"","","Who is it About?","","1.0","1.0","1.0","","1.0","1.0","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Are there quotes in the title?","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","Statement of Cause","","2.0","0.0","4.0","","6.0","3.0","3.0","3.0","0.0","0.0","","","","","","","","","","","","","","","","","","","6.0","","","","6.0","",""
"","Main Conclusion IV","Main IV of Conclusions ","","susceptibility loci","5 genes","Genes","","Genes","5 genes","genes","Genes","Genes","Genes","","","","","","","","","","","","","","","","","","","genes","","","","Genes","",""
"","","Code of Main IV","","19.0","19.0","19.0","","19.0","19.0","19.0","19.0","19.0","19.0","","","","","","","","","","","","","","","","","","","19.0","","","","19.0","",""
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","","1.0","1.0","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","",""
"","","Number of Sentences the DV is mentioned on","","","16.0","6.0","","5.0","5.0","4.0","6.0","15.0","10.0","","","","","","","","","","","","","","","","","","","8.0","","","","11.0","",""
"","","Words to First Mention","","","1.0","0.0","","0.0","1.0","0.0","0.0","0.0","1.0","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","What terms were included in the count?","","","as above, this dreadful disease, genetics, ","as above,  genetic links, genetic clues","","as above, genetics,","as above, genetic variation","as above, genetic variations","as above, genetic factors","as above, genetic varients, ","as above, genetic tests, genomes","","","","","","","","","","","","","","","","","","","as above, genetic","","","","as above","",""
"","","is there ambiguity?","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","if yes describe","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","Note differences here","","","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
"","","Actual IV for this","SNP's","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code ","19.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","",""
