"Press Release Title","Daily Pill for Duchenne Muscular Dystrophy","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Daily Treatment with SMTC1100, a Novel Small Molecule Utrophin Upregulator, Dramatically Reduces the Dystrophic Symptoms in the mdx Mouse","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","3.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","7.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","15-11-010","Available for Coding?","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Date Published","","39207.0","39206.0","","","","","","","","","","","","","","","","","","","","","","","","","","","39206.0","","","","","",""
"","","Word Count - Title","","19.0","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","7.0","","","","","",""
"","","Word Count - Body","7000.0","220.0","860.0","","","","","","","","","","","","","","","","","","","","","","","","","","","450.0","","","","","",""
"","","Sentence Count","","","34.0","","","","","","","","","","","","","","","","","","","","","","","","","","","24.0","","","","","",""
"","","Who is it written by?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Title","IV(s) in title","","Daily treatment with SMTC1100","Pill Treatment","","","","","","","","","","","","","","","","","","","","","","","","","","","Drug","","","","","",""
"","","DV(s) in title","","Dystrophic Symptoms","Symptoms of Duchenne Muscular Dystrophy","","","","","","","","","","","","","","","","","","","","","","","","","","","Muscular Dystrophy","","","","","",""
"","","Who is it About?","","4.0","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Statement of Cause","","6.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","SMT C1100 treatment","SMT C1100 treatment","","","","","","","","","","","","","","","","","","","","","","","","","","","SMT C1100","","","","","",""
"","","IV Code","","9.0","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","9.0","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0","","","","","",""
"","","Words to First Mention","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","What terms were included in the count?","","","..daily pill.. ..a new drug.. ..the drug.. ..oral pill.. ..SMT C1100..","","","","","","","","","","","","","","","","","","","","","","","","","","","..drug.. ..SMT C1100..","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","if yes describe","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Note differences here","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Actual IV for this","SMT C1100 Treatment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
""," ","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Main Conclusion DV","Main DV of Conclusions ","","Disease modifying effects","Progressive muscle weakness that is characteristic of the disease (as measured by fatigue in exercise tasks similar to the six-minute-walk test)","","","","","","","","","","","","","","","","","","","","","","","","","","","Muscle strength (in Duchenne Muscular Dystrophy)","","","","","",""
"","","Code of Main DV","","16.0","16.0","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0","","","","","",""
"","","Is this DV in the first 2 sentences?","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the DV is mentioned on","","","13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0","","","","","",""
"","","Words to First Mention","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","What terms were included in the count?","","","..Duchenne muscular dystrophy.. ..muscle weakness.. ..muscle cells break down.. ..the disease.. ..progressive weakness.. ..fatigue.. ","","","","","","","","","","","","","","","","","","","","","","","","","","","..muscular dystrophy.. ..muscle strength.. ..muscle-wasting disease.. ..inherited disease.. ..DMD.. ..stronger muscles..","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","if yes describe","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same DV being coded here as the abstract?","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Note differences here","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Actual DV for this","Dystrophic symptoms and muscle function","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","16.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
