"Press Release Title","Prolonged breastfeeding may be connected to fewer child behaviour problems","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Breast feeding and child behaviour in the Millennium Cohort Study","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","1.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","2.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","7.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","15-11-011","Available for Coding?","1.0","1.0","1.0","","1.0","","","","1.0","1.0","","","1.0","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Date Published","","39210.0","39210.0","","39211.0","","","","39210.0","39211.0","","","39211.0","","","","","","","","","","","","","","","","","39211.0","","","","","",""
"","","Word Count - Title","","10.0","10.0","","13.0","","","","9.0","5.0","","","7.0","","","","","","","","","","","","","","","","","6.0","","","","","",""
"","","Word Count - Body","3000.0","260.0","810.0","","290.0","","","","580.0","490.0","","","429.0","","","","","","","","","","","","","","","","","440.0","","","","","",""
"","","Sentence Count","","","34.0","","19.0","","","","26.0","19.0","","","18.0","","","","","","","","","","","","","","","","","22.0","","","","","",""
"","","Who is it written by?","","","","","3.0","","","","2.0","2.0","","","2.0","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","","","","","","1.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Title","IV(s) in title","","breast feeding","breastfeeding time","","breastfeeding","","","","breastfeeding","breastfeeding","","","breastfeeding","","","","","","","","","","","","","","","","","breastfeeding","","","","","",""
"","","DV(s) in title","","behaviour","behaviour problems","","bad children","","","","behaviour","behaviour","","","behaviour","","","","","","","","","","","","","","","","","behaviour problems","","","","","",""
"","","Who is it About?","","1.0","2.0","","1.0","","","","1.0","1.0","","","1.0","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","0.0","","","","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Statement of Cause","","0.0","2.0","","6.0","","","","6.0","2.0","","","2.0","","","","","","","","","","","","","","","","","2.0","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","duration of breast feeding","duration of breastfeeding","","breastfeeding","","","","breastfeeding","breastfeeding","","","breastfeeding","","","","","","","","","","","","","","","","","breastfeeding","","","","","",""
"","","IV Code","","2.0","2.0","","2.0","","","","2.0","2.0","","","2.0","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","1.0","","","","1.0","1.0","","","1.0","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","21.0","","8.0","","","","8.0","10.0","","","12.0","","","","","","","","","","","","","","","","","13.0","","","","","",""
"","","Words to First Mention","","","0.0","","0.0","","","","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","What terms were included in the count?","","","breastfeeding, breastfeed, breastfed","","breastfeed, breastfeeding, breastfed","","","","breastfeeding, breastfed","breastfed, breastfeeding","","","breastfeeding, breastfed, breastfeed","","","","","","","","","","","","","","","","","breastfed, breastfeed, breastfeeding","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","0.0","","","","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","if yes describe","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","","0.0","","","","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Note differences here","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Actual IV for this","Breastfeeding duration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","0.0","","","","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
""," ","Words to First Mention","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Main Conclusion DV","Main DV of Conclusions ","","parent-rated behavioural problems","behavioural problems","","behaviour problems","","","","behavioural problems","behavioural problems","","","behavioural problems","","","","","","","","","","","","","","","","","behaviour problems","","","","","",""
"","","Code of Main DV","","13.0","13.0","","13.0","","","","13.0","13.0","","","13.0","","","","","","","","","","","","","","","","","13.0","","","","","",""
"","","Is this DV in the first 2 sentences?","","","1.0","","1.0","","","","1.0","1.0","","","1.0","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the DV is mentioned on","","","15.0","","8.0","","","","8.0","9.0","","","9.0","","","","","","","","","","","","","","","","","10.0","","","","","",""
"","","Words to First Mention","","","0.0","","0.0","","","","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","What terms were included in the count?","","","behavioural problems, behaviour problems, child behaviour, emotional problems, anxiousness,abnormal scores, problem behaviour","","child will be bad, naughty kids, behaviour, behaved, socialized, behaviour problems","","","","behaviour, behavioural problems, behavioural difficulties, emotional issues","behaved, behavioural problems, behaviour, behavioural scores, abnormal scores, anxiousness","","","behaved, behaviour, behavioural problems, behavioural issues","","","","","","","","","","","","","","","","","behaviour problems, behavioural problems, problems, behaviour, behaving","","","","","",""
"","","is there ambiguity?","","0.0","0.0","","0.0","","","","0.0","0.0","","","1.0","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","if yes describe","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same DV being coded here as the abstract?","","","0.0","","0.0","","","","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Note differences here","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Actual DV for this","Behavioural problems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","0.0","","","","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","is the DV quantified ","","0.0","1.0","","1.0","","","","1.0","1.0","","","1.0","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Base Rate Mentioned","","0.0","1.0","","0.0","","","","1.0","1.0","","","1.0","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Words to First Mention","","","534.0","","-9.0","","","","211.0","274.0","","","162.0","","","","","","","","","","","","","","","","","124.0","","","","","",""
"","Second IV","Second IV of Conclusions (or quasi IV)","","prematurity","-9.0","","-9.0","","","","prematurity","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","How does this IV relate to the research article","","2.0","-9.0","","-9.0","","","","2.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","IV Code","","2.0","-9.0","","-9.0","","","","2.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","-9.0","","-9.0","","","","3.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","","","185.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","","-9.0","","-9.0","","","","full-term, prematurely","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","is there ambiguity?","","","-9.0","","-9.0","","","","0.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","if yes describe","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","-9.0","","-9.0","","","","0.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Note differences here","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Actual IV for this","being born pre-term","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code ","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","-9.0","","-9.0","","","","0.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Second DV","Second DV of Conclusions","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","How does this DV relate to the research article","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Code of DV","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Number of Sentences the DV is mentioned on","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","is there ambiguity?","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","if yes describe","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same DV being coded here as the abstract?","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Note differences here","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Actual DV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Number of sentences actual DV is mentioned in","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","What terms were included in the count?","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Words to First Mention","","","-9.0","","-9.0","","","","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","",""
